Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
585.01,2.6865,489.58,18.689,0.49891,0.23939,0.10447,0.16836,0.12202,0.18618,0.057849,0.077841,0.17645,1.6314795941889717
584.72,2.6782,489.71,18.641,0.49815,0.24187,0.10444,0.16831,0.12211,0.18615,0.057799,0.077807,0.17653,1.6331599675504944
585.6,2.6769,489.45,18.695,0.50258,0.23891,0.1045,0.16849,0.12196,0.18626,0.057889,0.077868,0.17641,1.634873225198477
584.8,2.6769,489.71,18.615,0.50371,0.24341,0.10442,0.16821,0.12219,0.18609,0.057764,0.077776,0.1766,1.640170434473125
588.33,2.6853,489.43,18.8,0.51944,0.23463,0.10452,0.16845,0.12189,0.18626,0.057998,0.077895,0.17627,1.647356829995734
562.02,2.8996,495.58,18.696,0.51878,0.24008,0.10425,0.16645,0.12228,0.18481,0.05701,0.07764,0.17622,1.6475228222352136
584.05,2.655,490.77,18.6,0.51273,0.2439,0.10445,0.16829,0.12214,0.18614,0.057768,0.077794,0.1765,1.649706353244127
570.56,2.7253,495.14,18.598,0.51553,0.24348,0.10442,0.16771,0.12213,0.18565,0.057438,0.077744,0.17624,1.6503590385447775
586.84,2.6712,489.94,18.64,0.51516,0.24256,0.1044,0.16809,0.12224,0.18605,0.057798,0.07776,0.17659,1.6506533003447497
568.57,2.7406,495.06,18.596,0.51753,0.24329,0.10443,0.16775,0.12209,0.18564,0.057405,0.077755,0.17623,1.65212498984048
