Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1938.4,0.17367,149.03,6.1855,0.13055,0.10175,0.058863,0.033038,0.11068,0.3045,0.13389,0.21851,0.047218,1.138996034295281
1938.7,0.1738,149.22,6.0356,0.13013,0.10151,0.059837,0.033615,0.1107,0.30455,0.13392,0.21849,0.047066,1.1398224572688465
1937.9,0.17409,149.2,6.0297,0.13012,0.10151,0.059883,0.033647,0.11069,0.30488,0.13392,0.21849,0.047051,1.140203214650877
1939.8,0.17404,149.3,5.9754,0.12994,0.10139,0.06025,0.03387,0.11071,0.30838,0.13393,0.21849,0.047001,1.1439628432657143
1954.0,0.17101,147.72,6.4172,0.13098,0.10182,0.057362,0.032233,0.11069,0.31232,0.13379,0.21863,0.047593,1.1454315077663566
1940.8,0.17233,148.79,6.4056,0.13102,0.10193,0.057468,0.032294,0.11069,0.31235,0.13382,0.2186,0.047523,1.1456868088077037
1952.5,0.17398,147.08,6.2177,0.1307,0.10176,0.058664,0.032932,0.11064,0.3118,0.1339,0.21851,0.047219,1.1461350002926085
1939.0,0.17144,151.34,6.0331,0.12998,0.10147,0.059831,0.033572,0.11075,0.31257,0.13387,0.21851,0.047167,1.147718277402468
1941.7,0.1725,149.22,6.0353,0.1301,0.10148,0.059809,0.033584,0.1107,0.31267,0.1339,0.21851,0.047106,1.1478522629472983
1945.3,0.17128,150.05,6.0312,0.13001,0.10144,0.059826,0.033573,0.11073,0.31365,0.13388,0.21851,0.047155,1.1487794622566996
