Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
603.66,0.84266,13.762,3.8155,0.086024,0.04623,0.19346,0.13244,0.06741,0.19375,0.17948,0.37565,0.89843,2.1728710513106186
603.93,0.78838,14.756,3.6419,0.086334,0.043723,0.19406,0.12999,0.068361,0.18851,0.18061,0.3329,1.0083,2.2327781529648205
620.65,0.85471,25.093,3.3384,0.090261,0.043531,0.18926,0.12405,0.069983,0.16818,0.17699,0.37057,1.0371,2.2698712088047848
568.99,0.84341,15.005,4.1685,0.084572,0.051201,0.19157,0.13663,0.065497,0.19786,0.17635,0.49195,0.90205,2.297680119654645
367.22,0.71913,4.7762,10.6,0.072627,0.082567,0.19761,0.16844,0.056766,0.27902,0.18099,0.83286,0.62413,2.495012235479102
615.85,0.64631,10.664,3.8375,0.083762,0.041681,0.19749,0.13252,0.067957,0.1972,0.18599,0.27378,1.3262,2.5066105786592194
650.86,0.71297,22.749,3.368,0.088921,0.040607,0.19093,0.1241,0.070339,0.16752,0.17995,0.29295,1.3576,2.512866075834516
337.65,0.7527,4.5445,11.424,0.072114,0.085541,0.19835,0.17039,0.056407,0.28647,0.17954,0.93328,0.56258,2.5446708711943047
259.06,0.61996,3.0049,16.73,0.069097,0.097346,0.20402,0.17844,0.055664,0.31842,0.17526,0.66642,0.7965,2.561156652098761
637.87,0.77396,27.015,3.3631,0.08984,0.042343,0.18873,0.12373,0.070067,0.16398,0.17756,0.33409,1.3842,2.5744982885621517
