Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
912.87,0.39053,156.48,4.974,0.016438,0.01643828145505809
912.98,0.39048,156.48,4.975,0.016439,0.016438947095111588
912.87,0.39049,156.48,4.9741,0.016439,0.016439029311613833
913.02,0.39047,156.48,4.9748,0.016439,0.016439197660763846
913.02,0.39047,156.48,4.9748,0.016439,0.01643922887640494
912.85,0.39047,156.48,4.9742,0.016439,0.016439268645932197
912.87,0.39047,156.48,4.9742,0.016439,0.016439282994523925
913.02,0.39046,156.48,4.9748,0.016439,0.016439414873419957
912.87,0.39046,156.48,4.9742,0.01644,0.016439582366964856
912.88,0.39045,156.48,4.9733,0.01644,0.016440213505556675
