Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
960.25,0.29381,123.12,4.2143,0.27984,0.070439,0.13634,0.056263,0.054525,0.11047,0.7078824596231872
953.59,0.31092,119.49,4.1452,0.28305,0.070429,0.13691,0.056505,0.054425,0.11135,0.7126607816662544
961.43,0.3035,120.15,4.2102,0.28485,0.070329,0.13658,0.056308,0.054528,0.11046,0.7130535182720786
973.42,0.29348,122.3,4.09,0.28266,0.070652,0.13702,0.056684,0.054328,0.11231,0.7136630956345283
961.28,0.30928,119.49,4.1476,0.28415,0.070415,0.13693,0.056516,0.054421,0.11136,0.7137915608178748
953.59,0.31161,119.03,4.1456,0.28714,0.070416,0.13693,0.056504,0.054426,0.11132,0.7167387576600285
958.9,0.30993,119.31,4.2154,0.28911,0.070269,0.13662,0.056316,0.054544,0.11036,0.717208074702552
934.51,0.32011,118.98,4.1075,0.28746,0.070483,0.13706,0.056607,0.054392,0.11176,0.7177554094813509
956.04,0.30997,119.8,4.2643,0.29483,0.070172,0.13635,0.056181,0.054653,0.10966,0.7218477293656181
944.0,0.31763,119.48,4.1683,0.29386,0.07037,0.13681,0.056451,0.054469,0.11097,0.7229317092073387
