Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
570.4,408.77,29.182,244.79,146.22,123.11,60.911,11.196,0.12041,0.26967,0.13162,0.111,0.26398,0.024394,0.026278,0.10154,0.12172,1.1706177718895077
568.41,402.37,27.829,239.97,146.4,123.1,60.902,11.336,0.12047,0.26979,0.13148,0.11145,0.26425,0.024335,0.026258,0.10157,0.12183,1.171424163257824
530.13,397.0,27.945,346.94,145.65,121.55,61.155,11.432,0.12209,0.26681,0.13019,0.097771,0.29126,0.022604,0.026471,0.10042,0.11504,1.1726584631321155
570.39,408.73,30.247,237.57,143.08,126.53,60.824,10.937,0.12026,0.26978,0.13192,0.10979,0.26812,0.024676,0.026314,0.10153,0.12198,1.174377309178262
532.8,401.29,26.44,242.51,145.83,122.49,61.116,11.306,0.12036,0.26962,0.131,0.11283,0.26984,0.023987,0.026444,0.10075,0.1202,1.1750183728585724
565.66,402.33,28.088,242.58,146.71,122.79,61.184,11.336,0.12048,0.2697,0.13141,0.11183,0.26817,0.024251,0.026308,0.1015,0.12165,1.1753084957789748
579.35,409.75,27.407,243.22,145.63,123.83,60.719,11.103,0.12048,0.26968,0.13192,0.11027,0.2687,0.024521,0.026185,0.10182,0.12225,1.1758247861639874
568.51,402.38,27.735,236.66,153.62,123.05,60.481,11.292,0.12027,0.26982,0.1314,0.11117,0.26843,0.024362,0.026101,0.10166,0.12282,1.1760431698924676
587.17,401.93,28.333,253.46,146.52,125.27,60.529,9.9436,0.12047,0.26863,0.13311,0.10505,0.27258,0.024869,0.025835,0.10291,0.12471,1.1781679893548127
532.75,401.12,26.678,242.51,148.92,121.89,61.395,11.312,0.12031,0.26959,0.13091,0.11272,0.27488,0.023943,0.026436,0.10077,0.12044,1.1799898628122867
