Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
631.66,10.315,321.77,302.76,189.18,0.24863,79.495,5.1593,0.21856,0.13101,0.045314,0.39417,0.057371,0.1038,0.071248,0.11131,0.14193,1.2747160790596073
634.3,10.167,228.1,302.65,181.1,0.23595,83.876,5.6283,0.21907,0.13234,0.043643,0.47089,0.058284,0.10479,0.070537,0.11115,0.14211,1.3528109891719642
629.71,9.8892,229.12,302.67,177.13,0.23779,83.875,5.6461,0.21918,0.13271,0.043155,0.47838,0.058497,0.10501,0.070182,0.11101,0.14215,1.3602714081061544
627.04,9.7328,326.83,313.01,189.54,0.25599,80.946,4.9561,0.21841,0.13046,0.045713,0.48844,0.057117,0.10345,0.071766,0.11139,0.14185,1.3686083321288405
634.93,9.9155,223.92,302.65,182.03,0.25781,84.443,5.5682,0.21903,0.13213,0.043639,0.49407,0.058288,0.10465,0.070769,0.11117,0.14203,1.3757710857734184
629.72,9.6732,229.95,301.95,174.21,0.23689,83.876,5.6372,0.21922,0.13289,0.042928,0.49646,0.058611,0.10511,0.070023,0.11093,0.14216,1.378326729126993
606.99,9.4092,233.52,301.95,164.87,0.23692,83.876,5.9613,0.21986,0.13472,0.040932,0.50072,0.059461,0.10639,0.068183,0.11051,0.14249,1.3832729021119285
606.84,10.737,233.71,301.99,172.45,0.23119,83.638,5.891,0.21964,0.13406,0.041687,0.50361,0.059141,0.10594,0.069125,0.11067,0.14233,1.3861937172557774
606.92,10.722,231.15,301.69,173.24,0.23199,83.64,5.89,0.21963,0.134,0.041748,0.50551,0.059116,0.1059,0.069187,0.11069,0.14233,1.3881005585535044
607.28,10.283,332.4,302.02,172.05,0.25976,83.658,5.8912,0.21969,0.13401,0.04156,0.53178,0.05906,0.10591,0.067668,0.11056,0.14238,1.4126227139214742
