Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1696.5,0.14715,121.58,10.79,0.24859,0.086881,0.068185,0.064998,0.12891,0.05556,0.6531273499237894
1689.8,0.14674,121.75,10.785,0.24864,0.08688,0.06818,0.065024,0.12888,0.055552,0.6531539623457208
1691.3,0.14713,121.94,10.79,0.24869,0.086888,0.06817,0.065009,0.12888,0.055563,0.6532019630996371
1686.1,0.14709,122.16,11.007,0.24991,0.086723,0.068313,0.064841,0.12893,0.055657,0.6543790259144029
1699.1,0.14577,121.55,10.799,0.25069,0.086877,0.068188,0.065016,0.12888,0.055547,0.6552043576345331
1707.9,0.14584,121.64,10.939,0.25119,0.086763,0.068295,0.064889,0.12895,0.055605,0.655692141648214
1693.8,0.14697,121.04,10.701,0.25231,0.086935,0.068141,0.065076,0.12889,0.055512,0.656865007578982
1695.0,0.14699,120.52,10.95,0.25244,0.086674,0.068394,0.064879,0.12901,0.055604,0.6569919884288687
1707.7,0.14703,121.33,10.838,0.25456,0.086844,0.068228,0.064941,0.12897,0.055582,0.6591198002472446
1712.1,0.14623,120.59,10.798,0.25522,0.086855,0.06823,0.06498,0.12897,0.055548,0.6598052931750431
