Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
331.31,1.4979,128.46,17.808,0.05203,0.14205,0.11361,0.65044,0.027283,0.13783,0.11278,0.0319,0.2261,1.494014804983471
337.51,1.4352,130.36,17.405,0.0522,0.14198,0.11342,0.65102,0.027256,0.13794,0.11323,0.032046,0.22594,1.4950336415583338
340.08,1.4159,130.93,17.065,0.052256,0.14188,0.11329,0.66305,0.027287,0.13791,0.11359,0.032255,0.22579,1.5073077729183288
368.87,1.2605,129.52,16.954,0.051488,0.14228,0.1132,0.67195,0.026783,0.13864,0.11197,0.032148,0.2257,1.5141587792582545
367.31,1.2617,129.64,16.933,0.051505,0.14227,0.11318,0.67419,0.026795,0.13863,0.11201,0.032168,0.22569,1.5164425536749775
400.45,1.0888,134.95,15.033,0.052208,0.14176,0.11248,0.68047,0.027234,0.13793,0.11174,0.033729,0.22474,1.5222963122958764
375.81,1.2363,129.06,17.184,0.05143,0.14245,0.11329,0.68218,0.026678,0.13878,0.11195,0.031953,0.22582,1.524527835427226
379.51,1.1981,130.0,17.176,0.051477,0.14255,0.11321,0.68221,0.026609,0.139,0.11208,0.031894,0.2258,1.5248219891305763
375.81,1.2335,129.26,17.254,0.05145,0.14248,0.1133,0.6842,0.026664,0.13882,0.112,0.031894,0.22585,1.5266584936779513
351.71,1.3835,127.53,17.077,0.051551,0.14202,0.1134,0.68772,0.027068,0.1381,0.11193,0.032238,0.22579,1.5298176622073554
