Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1483.6,0.34352,212.65,1.5347,0.18796,0.12081,0.48112,0.17001,0.25477,0.18682,0.2057,0.10659,0.12605,1.8398182494063504
1542.8,0.33339,210.85,1.5602,0.18743,0.12047,0.42818,0.16942,0.25482,0.1863,0.26028,0.10809,0.12589,1.840895374575689
1540.9,0.32646,208.85,1.5495,0.18763,0.12063,0.50557,0.1697,0.25487,0.18652,0.20657,0.10671,0.12596,1.864159756992252
1537.2,0.33851,209.3,1.5322,0.18799,0.1209,0.52304,0.16998,0.25476,0.18689,0.19978,0.10578,0.1261,1.875221166880971
1534.4,0.34201,207.97,1.5352,0.18789,0.12083,0.52752,0.1699,0.25475,0.18682,0.20024,0.10595,0.12606,1.8799691336058855
1534.4,0.33884,209.41,1.5294,0.18805,0.12095,0.53265,0.17004,0.25475,0.18695,0.1997,0.10557,0.12613,1.8847870112319345
1537.2,0.33882,209.3,1.5296,0.18804,0.12095,0.53429,0.17003,0.25475,0.18694,0.19969,0.10556,0.12612,1.8863852339404303
1559.5,0.33579,209.77,1.5349,0.18796,0.12088,0.53877,0.16992,0.25475,0.18684,0.19975,0.10581,0.1261,1.8907909402304
1538.0,0.33189,209.78,1.5282,0.1881,0.121,0.54345,0.17011,0.25479,0.18697,0.19973,0.10536,0.12615,1.8956531446155427
1537.5,0.33946,207.87,1.5296,0.18802,0.12095,0.54456,0.17002,0.25476,0.18694,0.19969,0.1054,0.12612,1.8964658291809522
