Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
114.43,223.26,138.22,211.05,155.06,10.06,65.974,18.597,0.11588,0.27136,0.11835,0.93874,0.57112,0.031582,0.032715,0.081268,0.10024,2.261257776092396
111.6,169.16,137.3,197.81,149.38,12.557,63.784,18.594,0.11563,0.2712,0.11739,0.77058,0.74089,0.032571,0.031958,0.080538,0.10125,2.2620121492028744
116.06,222.28,148.13,213.21,155.06,9.9806,65.863,18.382,0.11634,0.27169,0.11863,0.93742,0.58821,0.032425,0.032664,0.080463,0.099902,2.2777436485360387
119.69,223.22,135.45,201.38,142.16,11.467,63.628,18.402,0.11641,0.27251,0.11864,0.96736,0.56354,0.032637,0.031833,0.079989,0.099467,2.2823877669008494
112.36,223.29,134.95,209.32,154.99,10.449,66.224,18.601,0.11567,0.27131,0.11824,0.95575,0.58337,0.031428,0.032701,0.081417,0.10038,2.290262923901552
117.95,222.14,135.61,201.88,150.64,11.924,62.837,18.418,0.1162,0.27246,0.1184,0.96494,0.57885,0.032144,0.031615,0.079974,0.09984,2.294420495369158
111.36,223.22,135.63,206.54,150.62,10.971,65.66,18.608,0.11571,0.27155,0.11826,0.97116,0.5829,0.031697,0.032624,0.081098,0.10018,2.3051806813353566
109.91,222.67,138.24,222.16,154.34,10.125,65.903,18.607,0.11571,0.27091,0.11813,0.95636,0.60056,0.03063,0.033188,0.081665,0.10034,2.307502798843586
110.78,219.25,137.43,208.01,150.23,10.566,65.297,18.592,0.11578,0.27147,0.11831,0.96564,0.5973,0.031689,0.032766,0.081112,0.10014,2.3142022548625456
111.82,222.07,132.36,206.52,150.63,10.67,66.847,18.61,0.11559,0.27128,0.11822,0.96942,0.61017,0.031614,0.032726,0.081528,0.10037,2.3309220801651485
