iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.2963447203188577,0.08877377680066145,0.3246022911083815
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.046104434035664575,0.08415106693303159,0.07289055057336241
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.1699966513375688,0.07804399871626969,0.1948388276862725
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.16783803295777205,0.07384090801842993,0.19134232398482626
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.18704959923374412,0.07234699196762626,0.21007836201269886
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.023264548793559606,0.07303328122803066,0.04651176422888282
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.033948610313485894,0.07296333976931256,0.057173562691045024
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03472071140225798,0.07318188858888747,0.0580152300297016
9,494.02,0.50636,99.313,12.387,4.517e-06,0.018219950722384748,0.07325142942257365,0.04153660488468414
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.01992002705323413,0.07308970725181442,0.04318520344976576
11,455.66,0.58146,102.25,13.326,8.357e-06,0.02453680786193812,0.07315111516991518,0.047821531005891184
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.016346533508175796,0.07317095717781112,0.03963757255940388
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.01709706965876652,0.07310715742779228,0.04036780061882755
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.06667369219809492,0.07321331563008844,0.08997821436344632
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.01716242131415045,0.073177389570688,0.040455507859623055
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.016391914124445708,0.07304569937268847,0.039643082377981566
