Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
16.559,0.0966,9.2538,3.1518,3.3312e-09,0.29215,0.058601,0.027596,0.035797,0.28973,0.019148,0.12050275134073718
45.768,0.075056,15.581,3.8437,5.1474e-08,0.28699,0.051357,0.027264,0.032597,0.44363,0.017933,0.14329470628265015
65.676,0.026977,31.926,2.355,2.5164e-06,0.30178,0.057732,0.027791,0.034161,0.43128,0.020216,0.1454938898004535
65.422,0.026924,31.899,2.3707,2.4766e-06,0.30138,0.057551,0.027751,0.034105,0.43924,0.020095,0.14668590563510828
8.0452e-07,3.0399e-09,347.49,14.995,1.0135e-07,0.19519,0.1004,0.070001,0.04658,0.44633,0.040937,0.14990515263663015
4.3484e-07,1.3359e-09,379.17,14.915,8.3466e-08,0.19742,0.10128,0.070676,0.046158,0.45087,0.042404,0.15146787579577706
5.9447e-07,1.1689e-09,369.7,15.558,1.1563e-07,0.19391,0.10096,0.070587,0.047458,0.469,0.041003,0.15382009452242865
6.0599e-07,1.2166e-09,346.59,15.898,8.6822e-08,0.19167,0.10107,0.070758,0.048691,0.476,0.040186,0.15472789436376036
438.11,282.39,66.656,8.881,9.0053e-05,0.28161,0.040417,0.031567,0.028546,0.53002,0.020692,0.15547564521979065
9.7182e-07,2.007e-08,335.39,14.954,1.0282e-07,0.19744,0.09991,0.06926,0.045591,0.48015,0.041311,0.15561042686439672
