time,mCS_cp_xx,mCS_cpvp_xx,mCS_vp_xx,mEE_cp_xx,mEE_cpvp_xx,mEE_vp_xx,mTE_cp_xx,mTE_cpvp_xx,mTE_vp_xx
0,0,0,0,0,0,0,0,0,0
267.81,289.89787877205,289.26693762866,288.32052603174,0.001361765895586,0.0013709493938767,0.0013847246395931,0.0091464164574276,0.0069270406622355,0.0035979773850632
365.02,302.39599274074,301.58020222614,300.35651660701,0.0014228109683385,0.0014293083439056,0.0014390544060395,0.012174119138676,0.0094287427012039,0.0053106785591138
598.99,326.55365066857,325.569764829,324.09393625389,0.0015419353416112,0.0015430062717491,0.0015446126667554,0.01848251557521,0.015417116016934,0.010819017253566
835.2,347.8730679874,346.92935664864,345.51378981721,0.0016470732879698,0.0016442396186946,0.0016399891153126,0.02419421275659,0.021428824398918,0.017280742380274
1083.7,368.02332049168,367.29492198415,366.20232435925,0.0017465346736073,0.0017407620844449,0.0017321032017822,0.029754821387192,0.027724456364186,0.024678909209896
1259.7,381.83951156381,381.36563460566,380.65481925717,0.0018143026806089,0.0018074503296831,0.0017971718045775,0.033447618861642,0.032156355149353,0.030219459822729
1524.3,402.08759656817,402.09765434957,402.11274101978,0.0019132868581883,0.0019057102164706,0.0018943452553129,0.038801480960092,0.038776026373993,0.03873784449961
1845.1,425.74444826323,426.51927623988,427.68151805975,0.0020288142238896,0.0020214572831866,0.0020104218735097,0.044984361417436,0.046746475375573,0.049389645982793
2172.9,448.59454808925,450.28116125525,452.8110806884,0.0021401249522668,0.0021340780325514,0.0021250076541107,0.051129042526576,0.054816387743798,0.060347404879113
2490,470.76487596904,473.49520104389,477.59068814486,0.0022479204684786,0.0022441022969374,0.0022383750403407,0.056857942315002,0.06255923061966,0.071111162008985
2842,493.83568369005,497.86635161145,503.91235273873,0.0023600559616954,0.0023596111194722,0.0023589438562206,0.063060766518344,0.071082054404824,0.083113984732422
3249.7,520.27658310158,525.97316126349,534.51802743956,0.0024882783636333,0.0024928256814307,0.0024996466572752,0.070108038092351,0.080850289614187,0.096963664885271
3674.5,546.76987308005,554.3710573106,565.77283223297,0.0026166770407326,0.0026274202501655,0.0026435350623031,0.077307527208084,0.09091378173704,0.11132316098247
4343.2,586.55371127935,597.48249105734,613.87565867773,0.0028093111089802,0.0028317515380991,0.002865412177575,0.08837387405068,0.10652693908054,0.13375653322585
4856.9,615.56689292487,629.27314529476,649.83252128286,0.0029497058938645,0.0029824273752057,0.0030315095910899,0.096713991577279,0.1183281481905,0.1507493790627
5357.8,643.48353313318,660.12149359221,685.07843116502,0.0030845042242093,0.0031286371342845,0.0031948364911327,0.10467612224973,0.12968143834432,0.16718940780355
6039,677.75833768675,698.69765991071,730.1066393254,0.0032503870093171,0.0033114740600358,0.0034031046246741,0.11517574791902,0.14489307939541,0.18946907104492
6632.6,706.65350656576,731.59042319686,768.99579347364,0.0033899799599721,0.0034673741860657,0.0035834655107126,0.12413724514766,0.15792202220161,0.20859918145577
7804,759.55845586396,793.12880765856,843.48432906383,0.0036454832069291,0.0037590439922678,0.0039293851490095,0.14116180834564,0.18306784253656,0.24592688597533
