time,timestep
0,0
267.81,9
365.02,10
598.99,11
835.2,12
1083.7,14
1259.7,15
1524.3,17
1845.1,19
2172.9,21
2490,23
2842,26
3249.7,29
3674.5,32
4343.2,37
4856.9,41
5357.8,45
6039,51
6632.6,55
7804,66
