Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
125.47,5.4004,25.635,1.5474,0.063229,0.87229,0.15244,0.062919,0.093758,0.077094,1.3217365890075088
127.91,5.4127,24.505,1.5425,0.063936,0.87208,0.15434,0.063638,0.093082,0.076912,1.3239911246800187
125.45,5.7137,27.602,1.5318,0.062864,0.89091,0.15094,0.061932,0.094874,0.077396,1.3389140941727422
122.25,4.9965,24.066,1.3718,0.065092,0.88712,0.1559,0.063593,0.093498,0.078112,1.3433214403426907
129.47,4.9095,24.56,1.5296,0.06331,0.91572,0.15303,0.063513,0.092916,0.076851,1.36533548300908
144.9,0.41303,24.888,1.5543,0.052759,0.95799,0.12589,0.057674,0.097691,0.07783,1.369837188634059
192.57,0.52079,38.476,5.4331,0.049573,0.99961,0.11244,0.059543,0.090959,0.066948,1.3790702331642184
188.05,0.63369,38.88,5.4669,0.050006,0.99822,0.11385,0.05984,0.090576,0.06701,1.3794981323001654
190.71,0.51013,38.829,5.4422,0.049466,1.0005,0.11199,0.059362,0.091255,0.066985,1.379600526640626
192.12,0.48481,37.989,5.582,0.049778,1.0039,0.11291,0.059894,0.090591,0.066857,1.3839384311544913
