Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
325.98,1.4755,134.99,20.0,0.029113,0.02911293986468249
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682514
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682563
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682608
325.98,1.4755,134.99,20.0,0.029113,0.02911293986468261
325.98,1.4755,134.99,20.0,0.029113,0.02911293986468263
325.98,1.4755,134.99,20.0,0.029113,0.02911293986468263
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682635
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682656
325.98,1.4755,134.99,20.0,0.029113,0.029112939864682656
