Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g303),Error (g237),Error (curve),Error (g86),Error (g59),Reduced Error
874.32,0.30158,121.75,9.5319,0.12769,0.066023,0.088765,0.17502,0.05499,0.065873,0.5783605275250687
867.23,0.30462,122.47,9.8745,0.12772,0.066329,0.088446,0.18029,0.055026,0.065601,0.5834130516782723
866.79,0.30465,122.68,9.8745,0.12771,0.066318,0.088455,0.18329,0.055025,0.065602,0.586396119727583
876.17,0.30341,122.09,9.5314,0.12772,0.066036,0.088754,0.18359,0.054992,0.06585,0.5869437973841386
796.22,0.33505,121.73,10.067,0.12748,0.066372,0.08842,0.18415,0.054999,0.065586,0.587007615355785
793.69,0.33714,121.4,9.9563,0.12747,0.066281,0.088518,0.18563,0.054982,0.065671,0.5885477338044818
796.47,0.33635,121.74,10.095,0.12751,0.066407,0.088386,0.18596,0.055003,0.065558,0.5888231477842552
869.27,0.30177,123.87,9.2492,0.12742,0.065576,0.089194,0.18646,0.054935,0.066143,0.5897301098241395
792.55,0.33567,121.78,10.034,0.12745,0.066324,0.088467,0.18749,0.054992,0.065623,0.5903365305172527
793.14,0.339,121.72,10.068,0.1275,0.066382,0.088413,0.19031,0.054997,0.065578,0.5931757262001148
