Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
552.16,0.046137,31.09,15.723,4.7932e-05,0.32526,0.054217,0.031681,0.026359,0.38911,0.047396,0.14567071964501385
552.39,0.023013,29.245,15.169,4.7209e-05,0.33352,0.05621,0.032516,0.026504,0.37388,0.05145,0.14567930484736838
556.13,0.023351,29.447,14.875,5.1932e-05,0.334,0.056358,0.032535,0.026531,0.37354,0.051579,0.14575606114481782
540.28,0.045657,31.085,15.722,4.8092e-05,0.32531,0.054359,0.031751,0.026369,0.38956,0.047557,0.1458170922958141
555.52,0.028084,29.112,15.166,4.5467e-05,0.33123,0.055479,0.032169,0.02646,0.38006,0.050065,0.14591098275110612
553.1,0.048146,31.322,15.9,4.7425e-05,0.32458,0.054054,0.031633,0.02634,0.39229,0.047132,0.14600611699734442
556.65,0.045329,30.693,15.572,4.9207e-05,0.32578,0.054215,0.03165,0.02637,0.39206,0.047449,0.146253028379027
551.52,0.024889,29.312,15.901,4.5109e-05,0.33197,0.055788,0.03241,0.026438,0.38038,0.050888,0.14631187449311883
553.06,0.050138,30.986,15.193,4.7468e-05,0.32475,0.053978,0.031512,0.02637,0.39574,0.046807,0.14652605639386193
552.39,0.028505,29.245,15.169,4.7209e-05,0.33119,0.055532,0.032192,0.026462,0.38523,0.0501,0.1467830767617336
