Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
305.25,41.48,76.298,15.126,0.13265,0.11322,0.43709,0.2265,0.035462,0.032683,0.11191,0.051555,0.14313,1.2841942051967894
305.49,41.46,76.019,15.337,0.13257,0.11332,0.43805,0.22654,0.035535,0.032591,0.11202,0.051483,0.14314,1.2852391260951994
302.36,33.715,77.655,15.324,0.13266,0.11339,0.4469,0.22666,0.03535,0.032516,0.11172,0.051659,0.14246,1.2933142271624494
309.24,42.098,75.233,15.051,0.13278,0.11312,0.4528,0.22657,0.035419,0.033135,0.11208,0.051552,0.14358,1.3010250958027156
308.55,48.951,76.352,14.207,0.13294,0.11277,0.45421,0.2262,0.035408,0.033163,0.11169,0.051676,0.14359,1.3016576999588927
305.11,43.12,77.285,15.253,0.13255,0.11329,0.45609,0.22645,0.035499,0.032353,0.11188,0.051516,0.14298,1.3026096100114986
299.67,42.019,77.495,15.163,0.13246,0.11332,0.45793,0.22637,0.035558,0.032115,0.1117,0.051543,0.14258,1.3035731943832125
308.93,41.121,74.835,15.736,0.13251,0.11345,0.4612,0.22667,0.035643,0.032707,0.11234,0.051344,0.14342,1.3092833791832765
305.49,50.062,76.173,14.368,0.13277,0.1129,0.46245,0.22614,0.035574,0.032823,0.11172,0.051581,0.14338,1.309339628175345
311.91,48.519,76.433,14.233,0.13303,0.11274,0.47675,0.22628,0.035311,0.033364,0.11176,0.051697,0.1438,1.3247410947481013
