Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
479.59,0.50052,99.677,15.997,2.7414e-06,0.062932,0.085351,0.05558,0.12884,0.069258,0.29192,0.6938863512123159
478.66,0.50095,99.54,15.997,2.7384e-06,0.062934,0.085342,0.055577,0.12883,0.069267,0.29254,0.6944918782350662
479.44,0.50037,99.389,15.849,2.7415e-06,0.06298,0.085372,0.055576,0.12884,0.069243,0.29254,0.6945511439041328
479.13,0.5004,99.394,15.849,2.7446e-06,0.06298,0.085375,0.055576,0.12884,0.069239,0.2927,0.6947039017862728
479.0,0.50055,99.39,15.859,2.7414e-06,0.062977,0.085372,0.055576,0.12883,0.069242,0.29271,0.6947127490049407
480.56,0.50101,99.748,15.997,2.8427e-06,0.062938,0.085354,0.055578,0.12885,0.069255,0.29277,0.6947493263274397
479.64,0.50127,98.514,15.966,2.5835e-06,0.062944,0.085234,0.055564,0.12888,0.0694,0.29289,0.694919957590181
479.86,0.50051,99.422,15.716,2.7361e-06,0.063021,0.085419,0.055578,0.12883,0.069195,0.29303,0.6950699661616926
479.89,0.50064,99.423,15.712,2.7648e-06,0.063024,0.085421,0.055577,0.12883,0.069193,0.29318,0.695230760371944
479.6,0.50091,99.393,15.764,2.7865e-06,0.063009,0.085401,0.055575,0.12883,0.069213,0.29327,0.6953032372705212
