Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
876.86,0.51282,157.65,2.8362,0.15444,0.41905,0.24791,0.093867,0.18011,0.17822,0.072514,0.15796,0.10281,1.606894562751758
876.5,0.51202,157.02,2.8396,0.1544,0.41939,0.24791,0.093866,0.18006,0.17824,0.072481,0.15791,0.10279,1.607041907562356
864.03,0.51999,157.63,2.8405,0.15438,0.41944,0.24797,0.0939,0.1801,0.17825,0.072477,0.1579,0.10279,1.6071995644612462
876.49,0.51184,156.99,2.8415,0.15437,0.41971,0.24792,0.09387,0.18004,0.17825,0.072465,0.15788,0.10277,1.6072817408363136
878.08,0.50394,157.11,2.8624,0.15408,0.42049,0.24807,0.093939,0.17988,0.17837,0.072287,0.15758,0.10263,1.6073259864766416
878.25,0.50465,157.52,2.8613,0.1541,0.42043,0.24807,0.093941,0.1799,0.17836,0.0723,0.1576,0.10264,1.607340457550821
878.57,0.50463,157.52,2.861,0.1541,0.42045,0.24806,0.093939,0.1799,0.17836,0.072303,0.15761,0.10264,1.6073723871734031
878.4,0.50456,157.51,2.8618,0.15409,0.42054,0.24807,0.093942,0.17989,0.17836,0.072296,0.1576,0.10264,1.607421753405578
876.14,0.51184,157.01,2.8339,0.15447,0.41955,0.2479,0.093855,0.18013,0.17821,0.072525,0.15798,0.10282,1.6074450370569717
878.89,0.50539,157.38,2.8512,0.15423,0.42021,0.24802,0.093911,0.17999,0.17831,0.072381,0.15774,0.10271,1.6074955165271618
