Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
571.34,48.875,383.25,582.95,367.24,3.8625,77.121,5.0828,0.21849,0.12647,0.050606,0.30682,0.052138,0.10501,0.078986,0.11329,0.14267,1.1944768134741706
560.9,49.117,313.75,543.39,367.43,3.9565,78.266,5.0288,0.21838,0.12664,0.051444,0.31877,0.052292,0.10532,0.080822,0.11326,0.14275,1.2096754941093262
573.3,47.926,313.35,545.55,355.91,3.9503,78.324,5.154,0.21827,0.12698,0.050288,0.32197,0.052276,0.10533,0.08007,0.11309,0.14251,1.21078851679522
573.33,47.612,314.32,543.75,355.77,3.8176,78.324,5.2162,0.21826,0.1271,0.049837,0.32721,0.052328,0.10533,0.079554,0.11307,0.14254,1.2152354420748328
551.08,48.898,347.95,582.13,371.25,4.1839,77.05,4.986,0.21852,0.1266,0.051514,0.32553,0.052292,0.10529,0.080544,0.11319,0.14277,1.2162399191571105
560.71,49.588,313.84,540.48,367.95,4.055,77.35,5.0313,0.21842,0.12675,0.051428,0.3292,0.052327,0.10537,0.080875,0.11323,0.14278,1.220373957606223
574.14,46.672,314.4,543.4,333.53,3.936,77.107,5.2423,0.21825,0.12761,0.048461,0.33788,0.052272,0.10535,0.079284,0.11267,0.14225,1.2240224810747438
586.88,49.623,313.99,584.06,369.13,4.0988,78.243,5.0388,0.21823,0.12655,0.052338,0.33198,0.052028,0.10528,0.08192,0.11358,0.14267,1.2245812704346861
585.89,48.069,313.31,585.11,356.35,3.8183,78.81,5.141,0.21815,0.12688,0.050953,0.33759,0.052084,0.10531,0.080927,0.11334,0.14249,1.2277293953395096
573.44,48.349,313.35,545.58,355.91,3.9437,78.744,5.1439,0.21827,0.12692,0.050312,0.34422,0.052246,0.10532,0.080081,0.1131,0.14248,1.2329431523488141
