Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
130.3,0.51103,166.44,3.9671,0.11325,0.05364,0.1234,0.07461,1.8349,0.055048,2.254876911555027
129.5,0.52398,165.88,3.8883,0.11472,0.053732,0.12424,0.074788,1.8357,0.05548,2.258698329340427
132.21,0.5414,163.47,3.97,0.1133,0.053696,0.12381,0.074534,1.8386,0.055207,2.2591407977173104
130.71,0.52474,166.18,3.8927,0.11464,0.053729,0.12426,0.074739,1.837,0.055486,2.259800048589478
129.28,0.49433,165.11,4.0058,0.11249,0.053602,0.12292,0.074589,1.8417,0.054791,2.260111481367722
129.12,0.5726,165.92,3.9265,0.11427,0.053777,0.12402,0.074717,1.838,0.055404,2.2602101614443657
126.7,0.52696,167.23,3.9767,0.11321,0.053652,0.1231,0.074713,1.8408,0.054946,2.2604315804387896
127.23,0.58715,167.97,3.943,0.11411,0.053784,0.12368,0.074748,1.8399,0.055286,2.2615289031250776
129.23,0.58185,165.82,3.8885,0.11498,0.053836,0.12446,0.074793,1.8392,0.05564,2.262914495384786
129.03,0.5877,165.36,3.9147,0.11453,0.053814,0.12422,0.074745,1.8409,0.055513,2.2637378856021977
