Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
447.13,7.7279,75.842,345.68,393.87,8.0143,88.278,10.006,0.2215,0.13187,0.041517,0.69588,0.058496,0.12475,0.061378,0.1165,0.1434,1.5952781129522355
436.62,7.8225,82.163,338.96,390.44,7.6018,87.443,10.006,0.22187,0.13266,0.040226,0.70931,0.058794,0.12106,0.060055,0.11647,0.14329,1.603739969920052
343.65,137.03,294.9,1.2657,441.48,85.712,15.605,9.9415,0.221,0.15388,0.058124,0.52268,0.063744,0.25866,0.091553,0.11384,0.12221,1.6056945529263906
341.36,137.18,295.96,1.2481,442.49,85.714,15.444,9.995,0.22104,0.15405,0.058124,0.5211,0.063848,0.2603,0.091495,0.11384,0.12217,1.6059604242964804
334.0,142.24,296.84,1.2369,431.89,85.778,14.757,9.9987,0.22113,0.15437,0.057211,0.53623,0.064172,0.25825,0.090775,0.11357,0.12187,1.6175775020805236
446.14,9.0913,82.276,324.18,390.4,7.2868,87.444,10.009,0.22212,0.13311,0.039712,0.73125,0.058827,0.11702,0.05955,0.11638,0.14287,1.6208355030628105
349.65,140.44,303.94,1.2313,450.5,92.049,15.854,9.9696,0.22064,0.15371,0.059023,0.53287,0.063662,0.26759,0.092348,0.11405,0.12235,1.6262522520325753
346.99,137.46,387.11,1.2622,430.17,89.212,14.853,9.8848,0.2199,0.15362,0.058034,0.54119,0.063767,0.26579,0.091167,0.11422,0.12203,1.629717410587955
340.47,137.27,297.23,1.1811,427.92,94.326,14.852,9.8706,0.22128,0.15477,0.057768,0.53806,0.064436,0.26816,0.091349,0.11338,0.12194,1.6311386050324126
436.64,7.6896,81.11,340.8,386.97,7.3006,87.446,9.9872,0.22181,0.13265,0.040348,0.73391,0.058832,0.12597,0.060276,0.11641,0.14339,1.6336068937269639
