Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
289.66,0.68346,99.173,9.7593,3.3909e-05,0.11882,0.064471,0.086081,0.051837,0.069552,0.363,0.7537623408091283
291.32,0.68359,97.748,9.7675,3.3867e-05,0.11885,0.064623,0.085909,0.051823,0.06956,0.36616,0.7569221763120686
292.77,0.67933,97.755,9.5844,3.4003e-05,0.11891,0.064524,0.086015,0.05181,0.069646,0.36855,0.7594575507797512
289.18,0.68279,97.765,10.085,3.3664e-05,0.11872,0.064762,0.085726,0.051814,0.06946,0.37202,0.7625064060964559
297.19,0.67113,97.668,9.6932,3.3993e-05,0.11896,0.064683,0.085781,0.051794,0.069603,0.37282,0.7636473651100192
296.29,0.66776,97.557,9.5291,3.4359e-05,0.119,0.064551,0.085943,0.05179,0.069703,0.37615,0.7671332085258673
294.11,0.67123,95.667,9.7411,3.241e-05,0.1188,0.064714,0.085683,0.051674,0.069633,0.37838,0.7688838456914524
296.28,0.63907,97.701,9.8417,3.4042e-05,0.11884,0.064598,0.085737,0.051666,0.069737,0.39405,0.7846291895607718
300.71,0.65776,97.662,9.5143,3.5258e-05,0.11912,0.064625,0.085849,0.051815,0.069725,0.3947,0.7858342282057786
297.15,0.67274,100.41,8.6744,3.4882e-05,0.1193,0.063744,0.086921,0.051801,0.070032,0.39486,0.7866607556590375
