Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
297.05,0.58688,73.271,3.057,4.9989e-05,0.30533,0.057751,0.02737,0.032684,0.34645,0.021121,0.1317841445844485
292.58,22.801,63.17,13.773,5.2345e-05,0.27435,0.036154,0.032889,0.027399,0.40077,0.02037,0.1319885588497601
306.84,21.493,62.272,13.818,5.2553e-05,0.27515,0.035881,0.033015,0.027362,0.40654,0.020396,0.13305693051546624
301.82,0.58281,71.833,3.2497,4.6704e-05,0.30207,0.054921,0.026987,0.031948,0.36487,0.01982,0.133435707043655
305.27,21.216,61.853,15.67,5.2884e-05,0.27566,0.035466,0.033336,0.027058,0.40912,0.020512,0.1335245202916826
296.28,21.484,63.484,13.185,5.1633e-05,0.27422,0.036238,0.032803,0.027496,0.41879,0.02033,0.13497927406524182
305.41,22.63,63.082,13.327,5.1901e-05,0.27471,0.036079,0.03289,0.027453,0.42051,0.020369,0.13533646984079692
280.06,22.714,62.981,15.94,5.2357e-05,0.27423,0.035856,0.03315,0.027085,0.42167,0.020451,0.13540662559249925
315.2,21.136,64.33,15.929,7.969e-05,0.27567,0.035455,0.033347,0.027048,0.42209,0.020527,0.13569026404661785
306.3,21.427,61.61,15.961,5.2545e-05,0.27583,0.035414,0.033383,0.027013,0.42285,0.020553,0.13584020803485689
