Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
473.64,0.43898,107.45,6.6026,0.13107,0.097085,0.032604,0.25573,0.64824,0.11292,0.083951,0.029497,0.13332,1.5244204965682142
468.83,0.48531,105.26,6.6035,0.13121,0.096674,0.031957,0.25604,0.64657,0.11316,0.088928,0.028871,0.13284,1.526246891622675
462.33,0.4687,106.57,6.615,0.13128,0.096844,0.031733,0.25597,0.64906,0.11311,0.086455,0.029091,0.13293,1.5264710187038288
472.34,0.48885,105.28,6.6044,0.13115,0.096638,0.032094,0.25604,0.66229,0.11315,0.089592,0.028853,0.13282,1.5426269194419988
470.17,0.48597,104.98,6.5686,0.1313,0.096678,0.032091,0.25601,0.66454,0.11321,0.088407,0.028837,0.13293,1.5439963360539202
463.4,0.48934,105.29,6.5997,0.13134,0.096663,0.031669,0.25608,0.66452,0.11322,0.08988,0.028817,0.13278,1.5449736091400303
452.26,0.52311,107.41,6.5582,0.13189,0.096577,0.030982,0.2562,0.6535,0.11347,0.10184,0.028632,0.13254,1.5456331437960649
456.01,0.48855,109.47,6.5974,0.13151,0.09681,0.031293,0.25603,0.66502,0.11323,0.090165,0.029074,0.13278,1.5459147750130182
466.57,0.47435,108.17,6.6049,0.13124,0.096843,0.031904,0.25593,0.6707,0.1131,0.087158,0.029148,0.13294,1.548971173758583
466.66,0.43729,107.84,6.5946,0.13121,0.09713,0.032261,0.25575,0.67924,0.11297,0.083958,0.029512,0.13332,1.5553451985244262
