Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
1987.8,0.00075963,34.609,2.598,0.16174,0.080921,0.94369,0.12042,0.08874,0.059785,1.4552915021533142
1987.8,0.00075935,34.604,2.598,0.16174,0.080923,0.94387,0.12043,0.088741,0.059788,1.455486657311782
1987.5,0.00075921,35.242,2.5465,0.16225,0.081378,0.94789,0.12002,0.089202,0.059615,1.4603641186775511
1987.7,0.00075782,38.062,2.6983,0.16238,0.08231,0.9481,0.11902,0.088931,0.059646,1.4603877394370794
1983.8,0.00075921,35.242,2.5465,0.16225,0.081377,0.94809,0.12,0.089205,0.059602,1.4605298005271674
1987.5,0.0007592,35.478,2.5458,0.16234,0.081495,0.94949,0.11991,0.089261,0.059591,1.4620827143019466
1987.7,0.00075495,35.717,2.6607,0.16185,0.08137,0.95408,0.12002,0.088649,0.05984,1.4658133809689364
1770.4,0.007851,70.887,18.331,0.12631,0.066778,1.0272,0.12831,0.061079,0.065739,1.4753942118211505
1775.3,0.0078796,76.972,19.592,0.12773,0.068523,1.0435,0.12655,0.062216,0.066019,1.4944930827816107
1877.8,0.0071131,70.309,19.432,0.12824,0.068043,1.0631,0.13044,0.060831,0.067702,1.5183292622554354
