Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1993.8,0.00011128,232.3,19.907,0.12057,0.13189,0.98888,0.14166,0.27962,0.1671,0.9198,0.36375,0.12455,3.2378230098924314
1995.2,0.00011245,234.74,19.568,0.12051,0.13184,0.99989,0.14171,0.27957,0.16702,0.95175,0.35801,0.12451,3.2748098694968344
1995.7,0.00011134,232.33,19.564,0.12052,0.13188,1.0126,0.14181,0.27961,0.16701,0.96724,0.35948,0.12456,3.304724901638907
1727.9,4.1408e-08,2.3989,1.901,0.13116,0.16127,1.2168,0.26895,0.32999,0.19027,0.91126,0.1603,0.16073,3.530751819081738
1107.1,2.8868e-05,6.6112,2.1708,0.14397,0.14151,1.776,0.21172,0.29827,0.16796,0.57141,0.15733,0.13384,3.6020017902053225
1982.3,3.5278e-07,3.2473,2.447,0.12961,0.15658,1.1928,0.24962,0.31989,0.1822,1.0751,0.22071,0.15372,3.6802278395825008
1876.2,9.2723e-09,2.3036,1.5592,0.13455,0.1613,0.89386,0.27863,0.33469,0.19304,1.4064,0.13035,0.16276,3.6955954234186708
1847.0,0.00011315,222.96,19.828,0.12032,0.13222,1.229,0.14264,0.28032,0.16704,1.1108,0.39791,0.1251,3.7053651114411448
1133.1,2.0679e-05,6.0652,2.2372,0.1418,0.14336,1.5533,0.21545,0.30027,0.16931,1.0182,0.156,0.13584,3.833471867671004
1972.2,3.6658e-07,3.4143,2.2839,0.13209,0.15484,1.244,0.24854,0.31889,0.18082,1.3288,0.15617,0.15181,3.915996570689013
