Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
604.72,0.60371,141.2,17.188,0.05,0.14649,0.11243,0.28904,0.025847,0.13909,0.11359,0.032665,0.22575,1.1348972541563667
602.89,0.59335,142.33,17.049,0.049999,0.14639,0.11237,0.29918,0.025858,0.13922,0.11357,0.032683,0.22571,1.1449897450923505
602.88,0.59774,144.25,11.663,0.052051,0.14132,0.11121,0.30641,0.028742,0.13431,0.10893,0.040228,0.22249,1.1456892524866151
597.54,0.61122,143.59,11.684,0.052025,0.1413,0.11123,0.31458,0.028764,0.13427,0.10892,0.040215,0.2225,1.1538075120206472
598.09,0.6134,143.6,11.573,0.052148,0.14111,0.11123,0.32322,0.028953,0.1341,0.10884,0.040505,0.22243,1.1625352161360683
590.42,0.62344,142.64,11.575,0.052146,0.14108,0.11124,0.32841,0.028997,0.13412,0.10882,0.040497,0.22244,1.167741642010706
598.52,0.60419,142.41,11.537,0.052072,0.14116,0.11122,0.32983,0.028889,0.13425,0.10883,0.040563,0.22243,1.1692300976365302
562.14,0.60418,145.61,19.648,0.050454,0.14809,0.11235,0.32528,0.025699,0.1363,0.11354,0.031512,0.22629,1.1695077027411755
595.36,0.61322,142.79,17.199,0.050087,0.14634,0.11241,0.32446,0.025851,0.13891,0.1135,0.032582,0.22572,1.1698614393940439
590.98,0.61975,144.13,11.865,0.051947,0.14147,0.11124,0.33104,0.028602,0.13442,0.10903,0.039756,0.22261,1.170112972630303
