Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1639.2,0.22284,152.16,2.8903,0.11857,0.098693,0.091969,0.0722,0.11519,0.26949,0.13849,0.22161,0.043649,1.1698614807125736
1829.3,0.22616,146.54,3.1396,0.11851,0.098928,0.088697,0.067783,0.11507,0.28165,0.13753,0.22086,0.043669,1.172697824843359
1827.0,0.2231,149.57,3.1798,0.11852,0.09875,0.088093,0.066905,0.11491,0.28418,0.13739,0.22078,0.043762,1.1732878066423846
1641.2,0.22016,152.94,2.9068,0.11857,0.098569,0.091643,0.071771,0.11509,0.28877,0.1384,0.22156,0.043677,1.1880585016652738
1827.4,0.22747,147.24,3.1521,0.11852,0.098929,0.088546,0.067543,0.11505,0.29749,0.13749,0.22083,0.043685,1.1880808795874296
1640.5,0.22199,151.58,2.8005,0.11847,0.098998,0.093468,0.074402,0.11544,0.28309,0.13894,0.22192,0.043568,1.1882968323396985
1637.8,0.22491,152.49,2.8903,0.11856,0.098739,0.092021,0.072246,0.11522,0.29374,0.1385,0.22161,0.043644,1.1942800949798629
1646.9,0.22375,153.47,3.0334,0.11872,0.098384,0.089728,0.068917,0.11482,0.30095,0.13787,0.22117,0.043791,1.1943487964941981
1639.5,0.22426,153.2,2.9483,0.11862,0.098563,0.09107,0.070879,0.11504,0.29689,0.13823,0.22143,0.043702,1.194413772801547
1823.3,0.22313,146.29,3.1147,0.1185,0.098876,0.088958,0.068185,0.11507,0.30792,0.1376,0.22093,0.04366,1.1997131755316224
