Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1437.5,0.17886,124.31,8.6258,0.064888,0.12847,0.18804,0.089886,0.065987,0.055187,0.5924499075318345
1437.5,0.17987,126.51,8.6758,0.06487,0.12843,0.18856,0.089899,0.065896,0.055247,0.5928990799022655
1439.0,0.17995,126.58,8.6359,0.06483,0.12846,0.18897,0.089945,0.065934,0.055233,0.5933753030031805
1452.1,0.18059,124.25,8.777,0.065023,0.12833,0.18996,0.089756,0.065868,0.055156,0.5940959076332836
1436.8,0.18358,122.95,8.7058,0.064947,0.12826,0.19049,0.089798,0.065969,0.055083,0.5945409668390093
1410.9,0.1834,124.47,8.6911,0.064907,0.12823,0.19067,0.089799,0.06591,0.055189,0.5947107704960161
1436.3,0.18067,126.57,8.546,0.064739,0.12851,0.19021,0.090037,0.06602,0.055203,0.5947192369340554
1436.6,0.18326,124.14,8.6841,0.0649,0.1283,0.19078,0.089848,0.065958,0.055119,0.5948954360889362
1437.4,0.18385,123.18,8.7728,0.065008,0.12821,0.19245,0.089733,0.065892,0.0551,0.5963947250066766
1436.9,0.18311,124.15,8.6042,0.064818,0.12837,0.19309,0.089936,0.066033,0.055102,0.59735193507178
