Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g86),Error (curve),Error (g237),Error (g303),Reduced Error
1118.5,0.20971,123.93,18.169,0.062307,0.129,0.055562,0.27485,0.084665,0.070372,0.67676109279242
1117.5,0.20982,124.21,18.17,0.062309,0.12897,0.05556,0.27528,0.08468,0.070347,0.6771434516775935
1123.6,0.20906,123.67,18.181,0.062297,0.12905,0.055571,0.27528,0.084652,0.070398,0.6772520868502045
1117.6,0.20882,124.18,18.053,0.062353,0.12893,0.055543,0.27564,0.08465,0.070378,0.6774961403613521
1117.5,0.20979,124.21,18.199,0.062302,0.12898,0.055564,0.27566,0.08469,0.070335,0.6775236367807793
1092.8,0.21932,122.9,18.53,0.062178,0.12916,0.055595,0.27555,0.084682,0.070377,0.6775405264914858
1110.2,0.21422,123.19,18.419,0.062212,0.12914,0.055595,0.27568,0.084683,0.070375,0.6776896771453919
1117.5,0.20988,124.31,18.198,0.062301,0.12897,0.055564,0.27594,0.084693,0.070328,0.6777966893087803
1116.0,0.21132,123.31,18.245,0.062275,0.12908,0.055573,0.27584,0.084647,0.070411,0.6778304726518132
1118.0,0.20911,123.83,18.172,0.062315,0.129,0.05556,0.27604,0.084668,0.070367,0.6779478274810999
