param_type,param_name,base,in_l_bound,out_l_bound,in_u_bound,out_u_bound
input,cp_tau_s,10,1.7169794085573582,0,3.300443302006028,1
input,cp_b,10,-1.9729359378489546,0,1.2956770340174648,1
input,cp_tau_0,10,1.4669269056564882,0,2.6912848818232695,1
input,cp_n,10,0.4239827296771757,0,1.2999864361344673,1
input,average_strain,10,-2.176095602022215,0,-0.5454142701324578,1
output,average_stress,10,1.9406658724758288,0,3.725985096952106,1
output,g59_phi_1,10,0.22685757028872347,0,0.2822821563190965,1
output,g59_Phi,10,0.3327817198629149,0,0.36400661370567106,1
output,g59_phi_2,10,0.6327406553278637,0,0.6509385888289294,1
output,g63_phi_1,10,0.2687417374124764,0,0.3242824552976926,1
output,g63_Phi,10,0.4418678766638016,0,0.4866996155142045,1
output,g63_phi_2,10,0.5750376639569877,0,0.6051649285461197,1
output,g86_phi_1,10,0.3124312555887251,0,0.3267249128021095,1
output,g86_Phi,10,0.2533864729877719,0,0.28562481067595147,1
output,g86_phi_2,10,0.5569052690554478,0,0.5729296590793719,1
output,g237_phi_1,10,0.33469495886715817,0,0.3371596445268558,1
output,g237_Phi,10,0.3397494816808758,0,0.3621241848476041,1
output,g237_phi_2,10,0.612932127083471,0,0.6223176608338442,1
output,g303_phi_1,10,0.4032578257871112,0,0.41705629911911035,1
output,g303_Phi,10,0.3007910679877988,0,0.3236026952564894,1
output,g303_phi_2,10,0.6501714811836143,0,0.667163326682552,1
