Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
679.36,0.40798,93.727,4.4132,0.88201,0.070708,0.12873,0.055911,0.054197,0.10421,1.295761784304578
678.98,0.40764,93.697,4.4244,0.88289,0.070692,0.12864,0.055874,0.054224,0.10409,1.2964046054838347
689.09,0.40729,94.079,4.32,0.88339,0.07084,0.12947,0.056224,0.053964,0.10533,1.2992131585857976
684.36,0.39542,93.758,4.4078,0.89114,0.070766,0.12868,0.05588,0.054172,0.10431,1.304949756862522
693.36,0.38963,95.08,4.5103,0.89964,0.070605,0.12799,0.055613,0.054372,0.10343,1.3116565569592535
679.42,0.39673,93.659,4.4208,0.90066,0.070757,0.12859,0.055847,0.054218,0.10413,1.3142003208375632
669.63,0.40998,92.397,4.3876,0.90601,0.070767,0.12883,0.055951,0.054176,0.1043,1.3200424141242908
586.79,0.53237,92.429,4.5732,0.91013,0.070229,0.12823,0.05607,0.054976,0.10213,1.3217796160990325
659.31,0.39047,104.31,3.9394,0.89723,0.07205,0.1334,0.058308,0.05353,0.11059,1.325111661155379
664.1,0.39585,101.3,3.8642,0.89594,0.072213,0.13385,0.058506,0.053426,0.1114,1.325347308421235
