Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1449.5,0.17688,125.41,6.9166,0.062373,0.12982,0.14842,0.09272,0.067635,0.054803,0.5557705652326194
1440.8,0.17751,125.1,6.9278,0.062396,0.12981,0.14957,0.09268,0.067626,0.054811,0.5568974270342352
1442.2,0.17751,124.21,6.9115,0.06237,0.12983,0.14974,0.092722,0.067635,0.05477,0.5570659003545616
1440.8,0.17751,125.1,6.9018,0.062342,0.12985,0.1497,0.092754,0.067644,0.054806,0.5570985894307393
1450.7,0.17681,124.47,6.9914,0.062506,0.12971,0.15121,0.092531,0.067548,0.054784,0.5582945229097007
1427.7,0.18142,123.56,6.8833,0.062313,0.1299,0.15111,0.09278,0.067628,0.054724,0.5584504261987954
1440.8,0.17725,124.96,6.9298,0.0624,0.12981,0.1514,0.092676,0.067622,0.05481,0.5587177090390846
1442.1,0.177,125.09,6.9373,0.062412,0.12979,0.1518,0.092659,0.067616,0.054815,0.5590918577135057
1455.5,0.17751,125.41,6.8064,0.062123,0.12996,0.15205,0.093063,0.067689,0.054754,0.5596374717947847
1449.5,0.17688,126.09,6.9166,0.062369,0.12982,0.15323,0.092721,0.067638,0.054827,0.5606100293934352
