Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
586.0,5.5765,133.67,261.67,528.3,147.13,83.491,14.957,0.2244,0.14112,0.04085,0.54513,0.054991,0.12393,0.056336,0.12161,0.1387,1.447073278732124
585.13,4.9124,135.22,261.05,505.14,172.51,86.303,14.588,0.22438,0.1412,0.040873,0.55622,0.055334,0.11624,0.057168,0.12135,0.13866,1.4514244052145215
585.0,4.7968,135.87,265.29,505.61,157.97,86.127,14.765,0.22435,0.14111,0.041245,0.57688,0.055257,0.11518,0.057189,0.12136,0.1388,1.4713651557439633
589.33,4.8488,136.0,255.88,498.53,158.58,86.678,14.826,0.22459,0.1415,0.040935,0.57773,0.055575,0.11564,0.056764,0.12149,0.13872,1.4729319729672516
589.19,5.3631,131.88,265.54,533.72,151.73,83.335,14.964,0.22421,0.14076,0.041592,0.58018,0.054681,0.11569,0.056892,0.12161,0.13886,1.474467935210823
584.95,4.7901,135.88,264.77,504.02,158.1,85.469,14.732,0.22438,0.14117,0.04119,0.58357,0.055292,0.11612,0.057167,0.12134,0.13885,1.4790927509752592
589.39,4.7475,135.57,261.73,486.46,147.91,84.256,14.948,0.22491,0.14211,0.040282,0.56609,0.056032,0.14811,0.05665,0.1213,0.13884,1.4943103573370922
585.03,4.9236,136.56,255.82,477.01,186.49,86.321,14.101,0.22473,0.14192,0.03947,0.54488,0.056175,0.17199,0.057204,0.12092,0.1386,1.4958752542004252
590.02,4.8868,132.38,264.3,504.12,143.88,85.936,14.92,0.2245,0.14125,0.041364,0.60327,0.055382,0.12027,0.05718,0.12146,0.13888,1.5035558515603527
582.98,4.9134,132.62,265.35,501.18,158.59,86.247,14.745,0.22457,0.14147,0.040592,0.59483,0.055566,0.13264,0.057222,0.12134,0.13865,1.506879191512287
