Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
561.92,391.63,39.712,247.65,163.12,115.45,64.269,11.22,0.12056,0.26916,0.13083,0.11126,0.31014,0.023836,0.026305,0.1015,0.12436,1.2179390747736065
576.65,391.63,39.712,247.65,163.12,115.45,64.269,11.22,0.12052,0.26912,0.13095,0.1113,0.31142,0.023925,0.026343,0.10171,0.1247,1.2199838517285917
561.78,391.62,40.797,247.59,162.35,115.32,64.254,11.22,0.12059,0.26922,0.13079,0.11118,0.31583,0.023834,0.026303,0.10135,0.12422,1.2232963363623575
564.71,392.33,40.306,247.06,159.94,120.16,64.204,11.237,0.12051,0.26926,0.13094,0.1114,0.31955,0.023928,0.026426,0.10141,0.12381,1.2272418439762038
585.03,397.08,40.657,245.25,149.76,120.1,63.195,11.758,0.12034,0.26969,0.13084,0.11156,0.32397,0.024249,0.026797,0.10099,0.12113,1.229565342638747
585.69,396.85,41.139,244.73,149.67,120.21,63.167,11.546,0.12038,0.26964,0.13109,0.11122,0.32372,0.024279,0.026716,0.10117,0.12189,1.2301163648377749
585.48,397.04,41.121,244.83,149.65,122.4,63.171,11.544,0.12035,0.26965,0.13111,0.11137,0.32378,0.024292,0.026747,0.10116,0.1218,1.2302712397744715
578.37,393.44,41.16,244.74,149.68,120.72,63.449,11.638,0.12042,0.26964,0.13088,0.11147,0.32561,0.024162,0.02675,0.10101,0.12142,1.23136654927995
578.08,396.35,40.668,245.33,148.57,120.1,64.182,11.307,0.1205,0.26945,0.13128,0.11087,0.32447,0.024196,0.026719,0.10141,0.12254,1.2314270932838043
567.41,402.68,40.289,247.02,151.43,116.59,64.372,11.235,0.1205,0.26941,0.13119,0.11056,0.32525,0.024107,0.026585,0.10131,0.12288,1.2317848577756794
