Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
5.4455,0.053114,114.35,18.924,0.096201,0.066,0.18233,0.12711,0.076477,0.1785,0.14066,0.22834,0.41412,1.5097358749395993
5.3971,0.054281,113.35,19.912,0.09655,0.066503,0.18181,0.12705,0.076877,0.17777,0.14114,0.23087,0.45963,1.5582002820973082
5.7012,0.051827,114.1,18.262,0.095724,0.065585,0.18238,0.12717,0.076028,0.17861,0.14017,0.22619,0.49564,1.5874945437179455
5.3225,0.052506,114.34,18.49,0.09626,0.065771,0.18279,0.12708,0.076473,0.17904,0.14069,0.22775,0.50425,1.6001007365346833
5.5096,0.05464,114.31,19.836,0.096351,0.066479,0.18167,0.12711,0.076703,0.1777,0.14097,0.23021,0.50642,1.6036230876513717
7.67,0.060978,107.3,19.986,0.094748,0.065725,0.17911,0.12697,0.075543,0.17421,0.13852,0.22313,0.53539,1.6133468860009426
7.7382,0.058017,109.65,19.034,0.094254,0.065387,0.17955,0.12721,0.075026,0.17503,0.13815,0.22154,0.57773,1.6538665920067268
5.7135,0.053161,118.01,18.91,0.095686,0.066172,0.18188,0.12741,0.076009,0.17833,0.1404,0.22784,0.58344,1.6771666133088097
5.4161,0.053694,114.44,18.277,0.096113,0.065563,0.18281,0.127,0.076363,0.17907,0.14047,0.22635,0.62209,1.7158297285549138
5.5493,0.051655,114.35,19.588,0.096184,0.066468,0.18173,0.1273,0.076493,0.17784,0.14093,0.23065,0.61837,1.715973679137559
