Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1785.8,0.13238,123.58,5.5254,0.099826,0.05764,0.13216,0.068875,0.28091,0.054989,0.6944081723489626
1803.3,0.13044,124.28,5.5447,0.099821,0.057643,0.13209,0.068859,0.28315,0.055,0.6965675763102156
1791.3,0.13122,124.29,5.5527,0.099757,0.057666,0.13205,0.068864,0.28507,0.054992,0.6983982256241558
1826.2,0.13044,124.28,5.5447,0.09983,0.057646,0.13217,0.068817,0.28575,0.055006,0.6992218585443262
1766.9,0.1331,124.09,5.5524,0.099677,0.057693,0.13202,0.068883,0.28813,0.054978,0.7013752107361044
1826.4,0.13341,118.67,5.5477,0.099958,0.057662,0.13276,0.068657,0.28982,0.054981,0.7038344508205998
1864.5,0.12676,124.36,5.5563,0.099966,0.057603,0.1322,0.068784,0.29048,0.055028,0.7040588787496852
1843.5,0.12784,123.13,5.4849,0.10023,0.057496,0.1324,0.06887,0.29383,0.055034,0.7078636737329186
1875.6,0.12405,124.48,5.5578,0.10008,0.057559,0.13217,0.068801,0.29499,0.055042,0.7086490551028134
1868.6,0.12604,121.74,5.5521,0.10011,0.057582,0.13248,0.068736,0.2968,0.055026,0.7107253299319921
