Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
616.02,3.2995,158.09,1.3192,0.18415,0.11816,1.4811,0.17443,0.25976,0.18139,0.55512,0.10215,0.12494,3.181165729175485
598.49,2.1431,167.66,1.3439,0.18388,0.11796,1.5399,0.17425,0.26001,0.18069,0.49924,0.10128,0.1248,3.182029202795146
604.65,2.0772,168.24,1.3233,0.18412,0.11803,1.5457,0.17469,0.26012,0.18095,0.49145,0.10259,0.12488,3.182550359288796
593.93,2.1032,168.41,1.3084,0.18423,0.11814,1.5249,0.17497,0.26027,0.18111,0.51407,0.10342,0.12492,3.1860728218467402
618.67,2.437,162.16,1.3555,0.1838,0.11788,1.5332,0.17396,0.25977,0.18075,0.51328,0.10056,0.12479,3.188019871469626
596.34,2.0375,168.75,1.2979,0.18435,0.11818,1.5308,0.17521,0.26033,0.18124,0.51579,0.10414,0.12497,3.1950060433975573
580.84,3.2922,163.75,1.3211,0.18404,0.11825,1.4813,0.17431,0.2599,0.18119,0.56962,0.10189,0.12489,3.195403655161578
616.13,3.2958,155.58,1.2984,0.18434,0.11828,1.4673,0.17486,0.25992,0.18168,0.58336,0.10345,0.12502,3.1982527571074613
590.9,3.4664,160.26,1.3431,0.18383,0.11813,1.4757,0.17384,0.25969,0.18102,0.58187,0.10081,0.12482,3.1996904950290963
615.05,3.2282,155.72,1.2948,0.18438,0.11829,1.4687,0.17495,0.25997,0.18171,0.58547,0.10372,0.12503,3.2022311775555314
