Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
54.68,5.1707,495.63,19.868,1.3024,0.23463,0.11641,0.12575,0.13345,0.15076,0.059808,0.059903,0.10152,2.2845989853359416
50.338,6.0408,496.97,18.465,1.3249,0.28376,0.11671,0.12723,0.13345,0.15111,0.059618,0.059781,0.099837,2.356399704728201
47.785,4.8712,497.42,19.919,1.1872,0.47813,0.11749,0.12549,0.13453,0.15046,0.060579,0.058659,0.09798,2.410504588262634
57.398,4.7257,489.88,19.959,1.2159,0.45537,0.11618,0.12473,0.13533,0.15098,0.060784,0.058941,0.10263,2.4208505001714786
76.503,5.3849,496.76,18.389,1.1241,0.55444,0.1139,0.12436,0.13647,0.15245,0.060833,0.059786,0.11132,2.4376747571481503
70.953,4.8548,495.72,18.613,1.0139,0.67475,0.11477,0.12365,0.13825,0.15224,0.062068,0.058392,0.10959,2.4475968502845453
72.286,4.934,497.09,19.936,1.289,0.42363,0.11472,0.12443,0.13488,0.15156,0.060267,0.060181,0.10829,2.4670017953618983
72.573,5.4223,496.64,18.389,1.0968,0.6173,0.1142,0.12463,0.13618,0.15227,0.060703,0.059721,0.10977,2.4715374470314124
49.915,6.2824,494.28,18.409,1.4598,0.26481,0.11669,0.12777,0.13275,0.1512,0.059308,0.060208,0.099872,2.4724268989311255
71.621,4.872,495.76,19.928,1.2677,0.45872,0.11479,0.12432,0.13517,0.15156,0.06044,0.059967,0.10807,2.480766067243074
