Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1500.3,0.17431,123.93,5.2961,0.10986,0.048227,0.099285,0.24828,0.13589,0.03128,0.25437,0.1143,0.13436,1.1758635434716074
1492.9,0.17505,124.03,5.3119,0.10907,0.047988,0.099141,0.24983,0.13579,0.03122,0.25444,0.11435,0.13429,1.1761254639315992
1500.6,0.17434,123.97,5.2963,0.10986,0.048225,0.099283,0.24886,0.13589,0.03128,0.25437,0.1143,0.13436,1.1764325722925495
1500.3,0.17426,124.03,5.2899,0.10997,0.048303,0.099338,0.24905,0.13593,0.031306,0.25435,0.11429,0.1344,1.1769287810849767
1495.9,0.1741,123.93,5.2932,0.10988,0.048241,0.099306,0.24939,0.13593,0.031289,0.25436,0.1143,0.13439,1.1770964493636202
1493.4,0.17431,123.93,5.2985,0.10968,0.04817,0.099255,0.24988,0.1359,0.031267,0.25438,0.11432,0.13437,1.1772223029322846
1480.5,0.1775,123.16,5.3041,0.10915,0.048136,0.099149,0.25216,0.13584,0.031216,0.25443,0.11435,0.13437,1.1788014458313465
1474.4,0.17458,125.3,5.3517,0.10483,0.047212,0.098854,0.25851,0.13556,0.031139,0.25463,0.11444,0.13406,1.1792281968532414
1478.7,0.17865,122.88,5.2818,0.1099,0.048502,0.099305,0.2513,0.13598,0.031285,0.25434,0.11431,0.13451,1.1794225797238007
1474.7,0.17714,123.69,5.3232,0.10772,0.047787,0.099007,0.25499,0.13573,0.031167,0.25452,0.1144,0.13426,1.1795826203168418
