Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
48.707,362.9,39.062,19.459,0.090331,0.13027,0.12274,0.16077,0.85101,0.037878,0.12384,0.030385,0.22809,1.7753227800440214
50.148,350.04,39.453,19.272,0.090102,0.13057,0.12246,0.17033,0.84216,0.037373,0.12404,0.030802,0.22815,1.7759780983461741
48.503,366.63,38.489,19.703,0.089922,0.13032,0.12285,0.16035,0.85604,0.03808,0.1238,0.030177,0.22804,1.779584504450349
48.206,355.21,39.328,19.516,0.09042,0.13015,0.12283,0.16379,0.85889,0.037862,0.12372,0.030361,0.22812,1.7861443525140919
49.907,362.35,39.74,19.425,0.090182,0.13039,0.12261,0.16611,0.86284,0.03764,0.12393,0.030501,0.2281,1.7922996977415637
47.242,374.13,39.465,19.488,0.090998,0.12979,0.12302,0.15299,0.87615,0.038291,0.1236,0.030082,0.22808,1.7930172362430836
48.635,366.83,39.693,19.467,0.090567,0.1301,0.12281,0.16023,0.86965,0.037931,0.12376,0.030297,0.22809,1.793433862300797
47.81,391.75,38.965,19.482,0.090779,0.1299,0.12296,0.14826,0.88476,0.038477,0.12375,0.029987,0.22801,1.7968916986402246
51.6,348.12,38.579,19.547,0.088984,0.13108,0.12232,0.179,0.85707,0.037254,0.12422,0.030791,0.22808,1.7988066354467374
47.432,355.31,39.383,19.349,0.090932,0.12996,0.12287,0.15914,0.87657,0.037932,0.12367,0.030412,0.22815,1.7996431082461546
