Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
963.39,0.38912,144.85,3.2451,0.14986,0.25998,0.24965,0.094637,0.17658,0.17969,0.069977,0.15246,0.10019,1.4330391804620632
961.88,0.37922,144.99,3.3015,0.14923,0.2664,0.25027,0.094665,0.17648,0.17969,0.069798,0.15135,0.099887,1.4377696043316393
975.43,0.38018,143.22,3.2172,0.15015,0.28614,0.24941,0.094629,0.17667,0.17972,0.070033,0.153,0.10033,1.4600820471028744
973.77,0.37889,141.55,3.212,0.15019,0.30512,0.24934,0.094631,0.17665,0.17972,0.070028,0.15309,0.10034,1.4791029893204286
955.45,0.38091,141.96,3.2395,0.14984,0.31273,0.24974,0.094658,0.17667,0.17969,0.069957,0.15249,0.10019,1.485963802206966
994.97,0.38439,141.39,3.1136,0.15128,0.33006,0.24855,0.094392,0.17706,0.1795,0.070455,0.15448,0.10093,1.506714151457735
963.37,0.38568,147.73,3.3089,0.14919,0.34133,0.25031,0.094665,0.17647,0.17967,0.069815,0.15125,0.099877,1.5125749396128025
971.26,0.37756,134.16,3.223,0.15012,0.34432,0.24908,0.094607,0.17631,0.17973,0.069905,0.15291,0.1002,1.517177086733395
953.14,0.38008,141.96,3.2339,0.14988,0.36088,0.24975,0.094664,0.17673,0.17969,0.069976,0.15257,0.10022,1.5343679525994642
971.19,0.39539,140.87,3.2355,0.15007,0.36878,0.24915,0.094588,0.17629,0.17971,0.069957,0.15274,0.10021,1.5414784718855215
