param_type,param_name,base,in_l_bound,out_l_bound,in_u_bound,out_u_bound
input,cp_tau_s,10,2.354991502978481,0,3.2902127469195284,1
input,cp_b,10,0.4670454519877563,0,1.2956770340174648,1
input,cp_tau_0,10,1.8032112189832223,0,2.6912848818232695,1
input,cp_n,10,0.4239827296771757,0,1.2636834005571924,1
input,average_strain,10,-2.1224501347392706,0,-0.5461162220128769,1
output,average_stress,10,2.7655791538978405,0,3.725985096952106,1
output,g59_phi_1,10,0.22690908496548198,0,0.2822821563190965,1
output,g59_Phi,10,0.3409197934001626,0,0.3613500243522663,1
output,g59_phi_2,10,0.6327608884794388,0,0.6483502514447138,1
output,g63_phi_1,10,0.269956351932952,0,0.3242824552976926,1
output,g63_Phi,10,0.4418678766638016,0,0.4866712931924322,1
output,g63_phi_2,10,0.5750376639569877,0,0.6051649285461197,1
output,g86_phi_1,10,0.31251585566338685,0,0.32586443661534614,1
output,g86_Phi,10,0.25503116334555137,0,0.2855123020662439,1
output,g86_phi_2,10,0.558180377720982,0,0.5728948258833766,1
output,g237_phi_1,10,0.33481551250621205,0,0.33639968898608347,1
output,g237_Phi,10,0.3397693437687301,0,0.3610097126081429,1
output,g237_phi_2,10,0.612932127083471,0,0.6215916758592177,1
output,g303_phi_1,10,0.40329214515825423,0,0.41617434745708776,1
output,g303_Phi,10,0.30085624311839365,0,0.32145343433334456,1
output,g303_phi_2,10,0.6501714811836143,0,0.6659372852220151,1
