Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
163.65,6.2634,129.43,6.0639,0.10436,0.056599,0.12181,0.071379,2.1958,0.055116,2.6050165443582056
166.99,6.294,127.93,6.01,0.10476,0.056538,0.12266,0.071268,2.195,0.055367,2.605582160326651
167.23,6.2116,127.97,6.0043,0.10473,0.056529,0.12261,0.07127,2.1954,0.055348,2.6058771323566288
167.0,6.3833,127.74,6.0164,0.1048,0.056548,0.12273,0.071257,2.1952,0.055399,2.6059469342652912
166.12,6.4663,129.7,6.0505,0.10456,0.056579,0.12244,0.071264,2.1961,0.055263,2.606155661625719
163.55,6.2682,129.98,6.0631,0.10434,0.056597,0.12181,0.071378,2.1972,0.055093,2.6064211115470215
166.29,6.4532,129.74,6.0915,0.10433,0.056623,0.12205,0.071257,2.1971,0.055177,2.606552693010941
167.13,6.2189,129.01,6.0097,0.10463,0.05653,0.12257,0.07127,2.1964,0.055295,2.6066501390759322
164.65,6.1195,128.47,6.0088,0.10461,0.056538,0.1222,0.071367,2.1968,0.055224,2.606737098959706
167.25,6.2534,129.0,6.0062,0.10468,0.056526,0.12267,0.071265,2.1964,0.055319,2.6069025451524532
