Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
608.48,0.504,124.91,7.1656,0.12564,0.093497,0.028044,0.2599,0.30586,0.11432,0.65171,0.029309,0.13243,1.7407041247314414
607.02,0.50477,124.89,7.1797,0.1256,0.09349,0.027931,0.25993,0.31057,0.11431,0.65022,0.029303,0.13242,1.7437673214020628
614.82,0.48873,124.58,7.1336,0.12571,0.093499,0.028147,0.25989,0.28162,0.11434,0.68122,0.02932,0.13252,1.7462818874618193
624.29,0.48254,124.42,7.0631,0.12597,0.093535,0.028682,0.25978,0.2501,0.11435,0.71471,0.029354,0.1326,1.7490858698853093
618.3,0.48878,124.91,7.0188,0.12613,0.093655,0.029058,0.25965,0.31486,0.11432,0.65733,0.029425,0.13263,1.7570655463634628
617.55,0.48467,126.18,7.0879,0.12586,0.093603,0.028426,0.25979,0.29023,0.11433,0.6994,0.029443,0.1326,1.7736747690809134
611.1,0.50386,125.96,7.0538,0.12601,0.093673,0.02893,0.25966,0.34799,0.1143,0.64316,0.029441,0.13253,1.7756911630688352
635.64,0.48088,123.14,7.0415,0.12608,0.093497,0.028939,0.25977,0.21875,0.11434,0.7775,0.029284,0.13259,1.7807512311442126
616.2,0.48183,126.13,7.0955,0.12583,0.093601,0.028316,0.25981,0.2977,0.11433,0.70055,0.029444,0.13262,1.7821897236349773
626.29,0.47815,124.92,7.0836,0.12589,0.093516,0.028465,0.25983,0.24074,0.11435,0.76305,0.029366,0.13261,1.787816128677861
