Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
681.87,0.45022,118.87,6.7267,0.12715,0.093428,0.030128,0.25924,0.53127,0.11446,0.61231,0.028074,0.13348,1.929541367848326
679.71,0.4487,118.67,6.7447,0.1271,0.093396,0.029979,0.2593,0.51343,0.11448,0.63454,0.028088,0.13344,1.9337470914317827
675.51,0.44894,118.21,6.7166,0.12721,0.093438,0.030165,0.25925,0.55372,0.11448,0.60206,0.028105,0.1335,1.9419317080406138
672.35,0.44819,118.74,6.7202,0.12721,0.093449,0.030094,0.25926,0.54454,0.11449,0.61498,0.028144,0.13348,1.9456375261616345
680.34,0.44901,119.32,6.6817,0.1273,0.09354,0.030406,0.2591,0.54907,0.11445,0.61554,0.028103,0.13359,1.9510937264168358
674.54,0.44818,118.5,6.7396,0.12714,0.093405,0.02998,0.2593,0.53049,0.11449,0.63828,0.028121,0.13344,1.9546499681472813
673.46,0.44619,119.37,6.6814,0.12733,0.093551,0.030334,0.25912,0.55421,0.11446,0.61464,0.028167,0.13359,1.9554107689686402
672.25,0.44616,119.34,6.6816,0.12734,0.093549,0.030326,0.25913,0.56083,0.11447,0.61263,0.028175,0.13358,1.9600308195402034
671.53,0.44824,118.79,6.7458,0.12713,0.093401,0.029905,0.25932,0.52663,0.1145,0.65604,0.02815,0.13341,1.968497765287171
679.91,0.44846,117.76,6.7539,0.12708,0.093358,0.029943,0.25933,0.53491,0.11449,0.64815,0.028063,0.13343,1.9687587392829993
