Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1981.2,0.023004,79.848,3.452,0.18857,0.054663,0.13593,2.1681,0.15197,0.061437,0.23658,0.11479,0.14393,3.255995582705946
1953.1,0.0086789,75.911,5.1639,0.14908,0.024741,0.12195,2.2801,0.14202,0.045399,0.24326,0.10993,0.14176,3.2581859920449725
1996.6,0.057011,60.624,2.3653,0.22904,0.10294,0.1439,2.0674,0.16045,0.074746,0.23428,0.11797,0.15965,3.290353210273216
1997.4,0.058665,61.914,2.3686,0.22895,0.1027,0.14416,2.0692,0.16049,0.074914,0.23415,0.11797,0.15963,3.2921958161387894
1996.6,0.059657,60.54,2.3777,0.22812,0.10265,0.14338,2.0763,0.1602,0.074068,0.23445,0.11777,0.15931,3.2962462113942346
1997.8,0.059389,60.11,2.3476,0.22972,0.10398,0.14389,2.0717,0.1606,0.074893,0.23433,0.11788,0.15993,3.2968919167578012
1975.8,0.056662,59.285,2.3745,0.22816,0.10237,0.14305,2.0789,0.16,0.073742,0.23467,0.11802,0.15937,3.298224931217837
1997.7,0.055004,61.112,2.3645,0.22936,0.10276,0.14428,2.0915,0.16058,0.075172,0.23414,0.11811,0.15978,3.315710623588171
1978.2,0.059038,57.829,2.3519,0.22894,0.10388,0.14281,2.0963,0.16014,0.073753,0.23483,0.11785,0.1597,3.3182028404580057
1997.4,0.061815,60.104,2.3563,0.22903,0.10379,0.1435,2.0971,0.16041,0.074383,0.23445,0.11771,0.15968,3.32007763413136
