Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
0.01498,0.0014994,8.5528,12.206,0.126,0.070463,0.20973,1.0799,0.1008,0.072261,1.659146287782776
0.018983,0.0014476,9.0859,12.017,0.12573,0.070545,0.2109,1.0799,0.10023,0.07273,1.6600173348045635
0.0075145,0.00084032,8.1662,12.1,0.13753,0.067092,0.22156,1.055,0.1073,0.075724,1.6641550301845278
0.0074878,0.00075544,7.9222,12.1,0.13785,0.067252,0.22353,1.052,0.1071,0.076648,1.6643259165902908
0.025049,0.0017245,8.4263,12.103,0.11939,0.073407,0.20697,1.0961,0.096404,0.072332,1.6646536744666056
0.078143,0.0027107,8.9549,12.239,0.10669,0.079221,0.19926,1.1226,0.088799,0.071443,1.6679806667716475
0.022526,0.0014496,8.2235,12.104,0.12149,0.072778,0.21045,1.0931,0.097292,0.073581,1.668654921382149
0.02267,0.0014316,8.2234,12.106,0.12156,0.072763,0.21073,1.093,0.09729,0.073695,1.6690550231872656
0.02267,0.0014317,8.2185,12.105,0.12155,0.072773,0.21073,1.0931,0.09728,0.073698,1.6691078701491
0.023615,0.0014095,8.2049,12.032,0.12126,0.072946,0.21111,1.0934,0.097033,0.073938,1.6696530695071419
