Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1753.1,0.13403,122.67,15.378,0.070539,0.08499,0.12995,0.27416,0.063086,0.055882,0.678600500238727
1756.3,0.13338,122.75,15.306,0.070504,0.085018,0.12992,0.27478,0.063111,0.055876,0.6792072922098623
1753.6,0.13433,122.58,15.314,0.070541,0.084993,0.12996,0.27494,0.063095,0.055878,0.6794050132041185
1762.1,0.13447,121.9,15.363,0.070625,0.084944,0.13004,0.27555,0.063077,0.055874,0.6801105595519122
1741.0,0.13384,123.11,15.43,0.070485,0.085015,0.12987,0.27594,0.063087,0.055887,0.6802847807160048
1745.1,0.13382,122.95,15.212,0.070456,0.08505,0.12987,0.27612,0.063135,0.055871,0.6805049776008676
1757.5,0.13415,121.87,15.277,0.070591,0.084975,0.13001,0.27609,0.063111,0.055865,0.6806379113977872
1746.5,0.13462,122.18,15.609,0.070636,0.084918,0.13,0.27633,0.063034,0.055887,0.6808017143974732
1761.8,0.1336,121.9,15.34,0.070594,0.084971,0.13001,0.27669,0.063102,0.055869,0.6812301282722328
1761.2,0.13416,121.94,15.588,0.070667,0.084903,0.13005,0.27674,0.063034,0.055885,0.681269870487562
