Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1473.2,0.17284,123.55,6.0526,0.060549,0.13092,0.18476,0.095203,0.068681,0.05458,0.5946942694408517
1445.6,0.17851,122.49,5.87,0.060063,0.13136,0.18432,0.095976,0.068733,0.054593,0.5950449829789991
1457.1,0.17739,122.56,5.8702,0.060063,0.13136,0.18446,0.095978,0.068733,0.054592,0.5951847154711446
1448.2,0.17776,122.43,5.8573,0.060023,0.13137,0.18448,0.096038,0.068744,0.054595,0.5952514733576597
1444.7,0.17853,120.53,6.262,0.061092,0.13066,0.18664,0.094381,0.068616,0.054534,0.595928647234858
1443.3,0.17853,122.93,5.9288,0.060231,0.13123,0.18582,0.095709,0.068707,0.05459,0.5962817549145426
1457.1,0.17685,122.49,5.8027,0.059863,0.13148,0.18538,0.096293,0.068772,0.054601,0.596381958377831
1457.6,0.17663,122.52,5.7951,0.05984,0.13149,0.18621,0.096329,0.068777,0.054602,0.597241126960369
1457.2,0.17663,122.52,5.794,0.059836,0.13149,0.18646,0.096335,0.068778,0.054602,0.5975028032617651
1432.2,0.17922,122.61,5.888,0.060111,0.1313,0.18868,0.095894,0.068732,0.054592,0.5993148479242844
