Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
1841.2,0.0055011,170.44,2.2559,0.67212,0.081611,0.13091,0.051743,0.055281,0.12307,1.1147382666689092
1801.6,0.0055057,170.79,2.25,0.6752,0.081919,0.13071,0.051455,0.054528,0.12216,1.1159675473607111
1829.5,0.0054985,170.58,2.2509,0.67402,0.081713,0.13087,0.051655,0.055048,0.12281,1.1161131140248493
1807.4,0.005861,171.77,2.3157,0.6813,0.081548,0.1303,0.051529,0.054926,0.12239,1.121995988514269
1904.5,0.0055762,170.02,2.3201,0.67771,0.080922,0.13083,0.052248,0.056641,0.12444,1.12279549349885
1909.8,0.0054356,167.7,2.3076,0.68129,0.080957,0.13093,0.052237,0.056598,0.12444,1.1264491644049537
1692.1,0.0061206,169.03,2.2395,0.70354,0.082728,0.13017,0.050868,0.052577,0.11965,1.1395434148135601
1850.5,0.0054069,168.6,2.2978,0.69787,0.081407,0.13068,0.051748,0.055469,0.12311,1.1402720671549005
1768.9,0.0054977,174.39,2.2127,0.70666,0.082321,0.13078,0.051304,0.053941,0.12157,1.146585458567338
1981.2,0.005269,169.69,2.2638,0.70325,0.080708,0.13145,0.052881,0.057901,0.12616,1.1523508882171083
