Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
5.6382,0.00751,4.0666,1.1303,0.18704,0.13302,0.21421,0.49937,0.25604,0.13221,0.11733,0.12205,0.13892,1.800192475810601
14.725,0.00044974,4.2756,1.6317,0.20008,0.12744,0.357,0.3807,0.273,0.12347,0.12252,0.10699,0.14084,1.8320261292538433
24.245,0.00055683,9.8265,18.193,0.20893,0.13382,0.3368,0.4981,0.29484,0.11474,0.13752,0.088863,0.14897,1.962586093837974
125.8,0.00032788,14.306,18.058,0.20723,0.12422,0.42827,0.4695,0.29312,0.1131,0.13459,0.089191,0.1439,2.003122971035117
121.62,0.29841,4.2776,1.0281,0.16892,0.13067,0.21677,0.74027,0.24248,0.1337,0.11533,0.14303,0.12627,2.017446547877934
109.21,9.6297e-05,7.3361,18.15,0.2202,0.12252,0.71842,0.18998,0.29705,0.11499,0.13841,0.085433,0.15027,2.0372630836392283
109.68,9.3352e-05,7.2978,18.161,0.22031,0.12248,0.71161,0.19663,0.29719,0.11496,0.13851,0.085388,0.15027,2.037340749444754
111.97,9.2225e-05,7.3479,18.15,0.22023,0.12245,0.70367,0.20538,0.29732,0.11488,0.13857,0.085347,0.15021,2.0380622753727473
108.52,0.29096,5.3584,1.0245,0.16665,0.1309,0.21271,0.77054,0.24295,0.13108,0.1155,0.14261,0.12649,2.0394195406777
111.43,9.4165e-05,7.2847,18.178,0.22045,0.12247,0.72694,0.18573,0.29719,0.11499,0.13852,0.085315,0.1504,2.041998335292297
