Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
255.23,50.664,65.103,15.723,5.6349e-05,0.073869,0.076449,0.059071,0.25542,0.06132,0.13302,0.65914755204652
256.98,51.17,64.99,15.73,5.4604e-05,0.074134,0.076268,0.059077,0.25607,0.061325,0.13308,0.6599538054637757
256.61,51.54,64.964,15.768,5.4525e-05,0.074143,0.076279,0.059065,0.25622,0.061333,0.13307,0.6601060415946007
256.77,51.542,65.217,15.772,5.4524e-05,0.074115,0.076293,0.059066,0.2564,0.061333,0.13305,0.6602520915490512
254.83,49.681,65.092,15.722,5.6359e-05,0.073844,0.076436,0.05909,0.25662,0.061315,0.13302,0.6603292898207902
254.92,51.495,65.2,15.712,5.4737e-05,0.073992,0.07641,0.05905,0.25682,0.061341,0.13297,0.66058436779916
255.42,50.949,64.889,15.74,5.5952e-05,0.07395,0.076401,0.059068,0.25816,0.061322,0.13305,0.6619462767320452
255.34,49.638,64.871,15.74,5.6342e-05,0.073904,0.076384,0.059097,0.25903,0.061309,0.13307,0.6628009576697632
255.08,48.304,65.686,15.749,5.5941e-05,0.073806,0.076405,0.059124,0.26006,0.061311,0.133,0.6637063314264957
257.54,49.46,64.656,15.73,5.5786e-05,0.074085,0.076225,0.059121,0.26027,0.061296,0.13317,0.664165648586214
