Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1641.7,0.2083,150.94,5.989,0.17273,0.12924,0.55912,0.22617,0.25884,0.1011,0.11706,0.12059,0.12953,1.8143636202420765
1622.3,0.21054,150.42,5.9557,0.1727,0.12932,0.57404,0.21401,0.25881,0.10103,0.11707,0.12069,0.12952,1.8171788847024937
1624.0,0.21231,150.11,5.9818,0.17281,0.12918,0.57444,0.21587,0.25874,0.10105,0.11706,0.12058,0.1296,1.8193230737568036
1625.6,0.21217,150.11,6.0099,0.17286,0.12913,0.57219,0.22095,0.25877,0.10108,0.11705,0.12048,0.12964,1.8221472715378129
1624.4,0.21277,150.1,5.9924,0.17284,0.12914,0.57448,0.21898,0.25873,0.10106,0.11705,0.12054,0.12962,1.8224416983654415
1641.6,0.21167,149.42,6.0149,0.17292,0.12901,0.56268,0.23107,0.25866,0.1011,0.11703,0.12047,0.12968,1.8225968387514073
1624.9,0.21161,149.41,5.9575,0.17278,0.12923,0.57574,0.21813,0.2587,0.10102,0.11705,0.12067,0.12958,1.8228867132997637
1646.3,0.20604,151.26,5.9659,0.17263,0.12935,0.56026,0.23411,0.25889,0.10108,0.11706,0.1207,0.12945,1.8235248911801072
1638.5,0.20775,151.03,5.9927,0.17271,0.12928,0.55904,0.23538,0.25889,0.1011,0.11706,0.12058,0.12953,1.8235684729782458
1641.7,0.20546,151.65,5.929,0.17253,0.12948,0.56903,0.22556,0.2589,0.10104,0.11708,0.12084,0.12937,1.8238388800122438
