Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
339.42,121.81,680.2,913.18,400.01,523.33,456.64,1.4041,0.13724,0.84993,0.038528,0.14037,0.21581,0.10422,0.10771,0.053108,0.067169,1.7140878733804505
347.54,124.72,678.34,913.27,359.26,512.43,455.93,1.3863,0.13655,0.87319,0.038112,0.14058,0.21581,0.10464,0.10786,0.053952,0.067852,1.7385427130812323
347.53,124.88,678.33,887.68,354.74,511.05,448.98,1.3399,0.13646,0.88548,0.038015,0.14073,0.21589,0.10452,0.10805,0.054264,0.068282,1.7516825159368536
343.3,126.45,679.78,915.26,357.33,511.04,449.46,1.366,0.13617,0.88996,0.038053,0.14064,0.2157,0.10487,0.1079,0.054265,0.067876,1.7554349876616704
349.17,128.15,703.0,889.25,355.02,523.28,446.55,1.3342,0.13594,0.91126,0.037794,0.14068,0.21581,0.10448,0.10876,0.054638,0.068772,1.7781317940791546
349.5,123.07,699.92,909.11,361.82,511.05,452.52,1.3404,0.13639,0.9123,0.038061,0.14075,0.21572,0.10499,0.10781,0.054475,0.068037,1.7785372866528997
323.93,128.94,702.99,907.91,354.84,519.32,445.59,1.3347,0.1358,0.92698,0.037938,0.14061,0.21572,0.10453,0.1087,0.05454,0.068552,1.793373641945265
346.21,125.89,677.53,887.61,341.92,518.75,451.28,1.3648,0.13677,0.92849,0.038014,0.1406,0.2159,0.10429,0.10816,0.053909,0.068132,1.7942693254742366
346.7,126.95,677.31,910.43,353.64,512.74,450.4,1.3414,0.1358,0.92813,0.037877,0.14077,0.21581,0.10481,0.10829,0.054768,0.068675,1.794927843647037
322.79,125.74,702.58,901.38,353.72,518.72,445.62,1.3378,0.13661,0.93252,0.038175,0.14058,0.21571,0.10449,0.10812,0.054001,0.067814,1.7980139303834057
