Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
550.66,413.43,67.063,290.2,142.38,81.724,63.194,11.144,0.12101,0.26871,0.13007,0.1106,0.30758,0.02363,0.026122,0.099223,0.11851,1.205457691953932
551.05,413.5,67.063,289.12,142.43,81.777,63.102,11.153,0.121,0.26875,0.13007,0.11062,0.30781,0.023655,0.026123,0.099225,0.11856,1.2058073397348192
550.96,410.39,67.06,294.14,142.45,83.507,63.102,11.151,0.1211,0.26861,0.13002,0.11071,0.30859,0.023531,0.026105,0.099253,0.1183,1.2062169319823821
552.85,405.86,67.166,292.57,142.46,81.703,63.262,11.142,0.12113,0.26858,0.13003,0.11043,0.30866,0.0235,0.026105,0.099361,0.11872,1.2065152656222584
552.63,413.72,67.28,291.52,143.41,80.993,63.075,11.148,0.12103,0.26867,0.13006,0.1106,0.30912,0.023618,0.026086,0.099249,0.11867,1.207105212355406
550.94,409.58,67.071,295.29,142.39,83.518,63.081,11.15,0.12113,0.26857,0.13001,0.11066,0.30962,0.0235,0.026094,0.099257,0.11827,1.2071086305159515
552.67,410.53,66.899,288.46,142.39,81.762,63.146,11.153,0.12102,0.26873,0.13009,0.11052,0.30921,0.023636,0.026128,0.099306,0.11874,1.2073777695020405
559.93,407.6,67.306,291.45,143.46,85.454,63.129,11.125,0.12108,0.26864,0.13016,0.11026,0.30919,0.023595,0.026112,0.0995,0.11889,1.2074168597376327
550.92,416.18,67.052,288.15,142.41,81.664,62.904,11.087,0.12095,0.26876,0.13018,0.11051,0.30941,0.023721,0.026086,0.099224,0.11865,1.207497691547503
547.92,412.0,67.644,292.05,143.99,81.546,62.889,11.149,0.12104,0.26866,0.12997,0.11055,0.31007,0.023576,0.026072,0.099123,0.1185,1.2075608494832153
