Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g86),Error (g59),Error (curve),Error (g303),Error (g237),Reduced Error
1371.5,0.024115,3.343,19.534,0.10959,0.054903,0.072972,1.7666,0.061823,0.10904,2.1749160990985676
1536.3,0.010346,6.3082,16.386,0.1067,0.054678,0.075275,1.7993,0.062158,0.11043,2.208564554423953
1994.1,19.932,0.031226,19.995,0.21332,0.11117,0.050659,1.6799,0.064468,0.11976,2.2392423218897095
1994.1,19.932,0.031182,19.996,0.21333,0.11119,0.050659,1.6798,0.06447,0.11977,2.2392581752512113
1994.1,19.932,0.031175,19.996,0.21334,0.11119,0.050659,1.6798,0.064471,0.11977,2.2392672929761286
1994.1,19.932,0.031219,19.975,0.21333,0.11119,0.050664,1.68,0.064469,0.11978,2.239452651886667
1994.2,19.932,0.031369,19.974,0.21327,0.11113,0.050666,1.6802,0.064459,0.11975,2.2395002999834084
1990.9,19.872,0.031447,19.967,0.21321,0.11108,0.050671,1.6809,0.064453,0.11974,2.240050101878721
1987.2,19.934,0.031363,19.974,0.21323,0.11109,0.050667,1.6809,0.064457,0.11974,2.2400947385409746
1994.1,19.932,0.031509,19.996,0.2132,0.11105,0.050661,1.6815,0.064449,0.1197,2.2405587323188536
