Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
517.32,2.7117,327.24,19.812,1.1604,0.41061,0.096582,0.12604,0.16122,0.16096,0.084717,0.061192,0.21091,2.47267666170539
468.66,2.4066,353.33,17.675,1.1293,0.55266,0.095791,0.13197,0.16585,0.16222,0.090423,0.05997,0.22319,2.6113400436774485
467.17,2.6007,385.95,17.61,1.1623,0.56159,0.096378,0.12892,0.16371,0.16222,0.087258,0.060537,0.21828,2.641150369876651
493.31,2.5363,325.26,18.221,1.2363,0.51068,0.095595,0.13024,0.16522,0.16165,0.090019,0.060158,0.22196,2.671801130073146
490.43,2.6442,315.52,19.991,1.2808,0.53523,0.097009,0.12596,0.16094,0.16092,0.084337,0.061017,0.20852,2.714728563842235
468.34,2.9273,359.66,17.607,1.233,0.57184,0.096449,0.12783,0.1628,0.16133,0.086677,0.060592,0.21571,2.716222219352452
508.93,2.5586,374.88,18.156,1.2347,0.62278,0.095744,0.12718,0.16353,0.16326,0.086686,0.061162,0.222,2.777070256589801
469.77,2.5807,390.34,17.674,1.2008,0.66348,0.096398,0.12809,0.16354,0.16261,0.08674,0.060693,0.21831,2.780691933777689
492.21,2.411,357.47,19.948,1.4127,0.48728,0.096998,0.12594,0.1611,0.16205,0.083805,0.061241,0.21038,2.801460007836388
527.79,2.5771,359.77,18.507,1.0906,0.82199,0.095522,0.12717,0.16354,0.16304,0.086991,0.06126,0.22273,2.832849726629394
