Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
8.5403,2.4309e-05,0.0059626,1.0375,0.31797,0.48407,0.067596,0.15225,0.75582,0.059377,1.8370817934127652
4.6583,1.3443e-05,0.0031731,1.0322,0.33729,0.49957,0.072871,0.15686,0.72234,0.061091,1.8500284071407302
10.107,2.6009e-05,0.0054046,1.028,0.31383,0.48363,0.064965,0.14994,0.78282,0.058631,1.8538142927797479
3.2623,7.6753e-06,0.0010344,1.0367,0.35211,0.51798,0.07324,0.15772,0.69615,0.060948,1.8581553820879875
2.7388,8.6742e-06,0.0041933,1.0371,0.35265,0.51175,0.078396,0.16078,0.69226,0.063251,1.8590830923227408
2.5696,8.1909e-06,0.0040453,1.02,0.35481,0.51374,0.078949,0.16119,0.68759,0.063532,1.8598027496116918
2.4448,7.9656e-06,0.0017797,1.0972,0.35497,0.51445,0.078804,0.16153,0.68784,0.063516,1.8611070760695259
2.4574,7.9659e-06,0.0041391,1.0367,0.35575,0.51446,0.079396,0.16148,0.68692,0.063744,1.861750342568707
2.7401,8.585e-06,0.0044744,1.0365,0.35285,0.51208,0.078344,0.1607,0.696,0.063208,1.8631847370542782
2.9586,9.4802e-06,0.0034341,1.0281,0.34999,0.50905,0.077751,0.16047,0.70351,0.06302,1.863781911628734
