Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
435.14,0.77364,133.13,4.9835,0.053414,0.13079,0.056089,0.10236,0.30221,0.070313,0.7151668359487503
435.14,0.77364,133.17,5.0232,0.053351,0.13067,0.056201,0.10202,0.30793,0.070268,0.7204376364755058
434.24,0.77,133.64,5.0475,0.053313,0.1306,0.056265,0.10185,0.3084,0.070248,0.7206683266760535
434.72,0.76506,133.13,5.004,0.053382,0.13075,0.056143,0.10222,0.31038,0.070291,0.7231644051192199
432.72,0.77959,133.08,5.0668,0.053284,0.13056,0.056334,0.10165,0.31942,0.070215,0.7314552822444575
434.12,0.77335,133.69,5.1132,0.053213,0.1304,0.056459,0.10129,0.32305,0.070179,0.734585080591464
434.96,0.76875,136.28,5.1187,0.053205,0.1303,0.056447,0.1013,0.32698,0.070211,0.7384494748133925
436.66,0.77711,131.22,5.0505,0.053311,0.13062,0.056295,0.10175,0.32897,0.070211,0.741162342972276
436.6,0.77743,131.24,5.0527,0.053307,0.13061,0.056302,0.10174,0.32974,0.070209,0.7419040471847735
432.12,0.7716,133.78,4.8106,0.053686,0.13135,0.055628,0.10385,0.3273,0.070533,0.7423527286340852
